city,country,location,parameter,sourceName,unit,value
Parque O'Higgins,CL,Parque O'Higgins,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',87.5
Parque O'Higgins,CL,Parque O'Higgins,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1541.67
Parque O'Higgins,CL,Parque O'Higgins,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',34.0
Parque O'Higgins,CL,Parque O'Higgins,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',106.0
Parque O'Higgins,CL,Parque O'Higgins,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',14.61
Parque O'Higgins,CL,Parque O'Higgins,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',130.5
Cabrero,CL,Progreso,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13.66
Cabrero,CL,Progreso,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.62
Cabrero,CL,Progreso,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13698.5
Cabrero,CL,Progreso,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.06
Cabrero,CL,Progreso,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',37.46
Puchuncaví,CL,Puchuncaví,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',14.77
Puchuncaví,CL,Puchuncaví,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13.81
Puchuncaví,CL,Puchuncaví,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',12.0
Pudahuel,CL,Pudahuel,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',25.55
Pudahuel,CL,Pudahuel,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',56.0
Pudahuel,CL,Pudahuel,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',118.0
Pudahuel,CL,Pudahuel,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',127.84
Pudahuel,CL,Pudahuel,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1701.94
Puente Alto,CL,Puente Alto,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',52.48
Puente Alto,CL,Puente Alto,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',30.0
Puente Alto,CL,Puente Alto,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',77.0
Puente Alto,CL,Puente Alto,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',28.18
Puente Alto,CL,Puente Alto,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1476.22
Puente Alto,CL,Puente Alto,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',22.24
Punta Arenas,CL,Punta Arenas,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.83
Punteras,CL,Punteras,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',19.0
Punteras,CL,Punteras,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',21.0
Punteras,CL,Punteras,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',20.0
Punteras,CL,Punteras,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.0
Punteras,CL,Punteras,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.27
Punteras,CL,Punteras,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.8
Puren,CL,Puren,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',42.0
Puren,CL,Puren,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',56.0
Puren,CL,Puren,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',36.45
Puren,CL,Puren,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',43.26
QUILICURA ,CL,QUILICURA ,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',32.0
QUILICURA ,CL,QUILICURA ,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',77.0
QUILICURA ,CL,QUILICURA ,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',54.0
QUILICURA ,CL,QUILICURA ,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',139.0
Quilicura,CL,QUILICURA II,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',22.04
Quilicura,CL,QUILICURA II,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',89.4
Quilicura,CL,Quilicura,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',39.0
Quilicura,CL,Quilicura,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',134.5
Quilicura,CL,Quilicura,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.34
Quilicura,CL,Quilicura,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',66.27
Quilicura,CL,Quilicura,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.46
Quilicura,CL,Quilicura,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',777.9
Quillón,CL,Quillón,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',14.6
Quilpue,CL,Quilpue,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',22.48
Quilpue,CL,Quilpue,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',141.4
Quintero,CL,Quintero,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',68.38
Quintero,CL,Quintero Centro,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',335.92
Quintero,CL,Quintero Centro,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.61
Quintero,CL,Quintero Centro,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.02
Quintero,CL,Quintero Centro,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',6.98
Rancagua I,CL,Rancagua I,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',78.0
Rancagua I,CL,Rancagua I,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1334.95
Rancagua I,CL,Rancagua I,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',976.86
Rancagua I,CL,Rancagua I,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',54.0
Rancagua I,CL,Rancagua I,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',115.0
Rancagua I,CL,Rancagua I,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.71
Rancagua I,CL,Rancagua I,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',46.0
Rancagua II,CL,Rancagua II,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',20.48
Rancagua II,CL,Rancagua II,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',114.87
Rancagua II,CL,Rancagua II,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',37.0
Rancagua II,CL,Rancagua II,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',17.0
Rengo,CL,Rengo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',26.0
Rengo,CL,Rengo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',29.0
Romeral,CL,Romeral,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.0
Romeral,CL,Romeral,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.0
Huasco,CL,SM1 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.58
Huasco,CL,SM2,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.95
SM3 ,CL,SM3 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',307.67
SM3 ,CL,SM3 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.21
Huasco,CL,SM4 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',6.02
Huasco,CL,SM5 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.79
Freirina,CL,SM6 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.6
Freirina,CL,SM7 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.93
Freirina,CL,SM8 ,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.75
Copiapó,CL,San Fernando,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.96
Copiapó,CL,San Fernando,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.88
Copiapó,CL,San Fernando,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.0
Copiapó,CL,San Fernando,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',26.33
Santa Margarita,CL,Santa Margarita,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',6.0
Sierra Gorda ,CL,Sierra Gorda ,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.0
Sierra Gorda ,CL,Sierra Gorda ,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13.0
Sierra Gorda ,CL,Sierra Gorda ,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.0
Sierra Gorda ,CL,Sierra Gorda ,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',30.0
Sur,CL,Sur,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',385.99
Sur,CL,Sur,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',60.32
Sur,CL,Sur,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.17
Sur,CL,Sur,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',21.61
Sur,CL,Sur,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',64.81
Talagante,CL,Talagante,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',10.42
Talagante,CL,Talagante,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',54.0
Talagante,CL,Talagante,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',108.0
Talagante,CL,Talagante,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1139.17
Talagante,CL,Talagante,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',63.14
Talagante,CL,Talagante,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.75
Santiago,CL,Test Prueba,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',28.0
Santiago,CL,Test Prueba,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',38.0
Tierra Amarilla,CL,Tierra Amarilla,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',385.94
U.C. Maule,CL,U.C. Maule,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',34.0
U.C. Maule,CL,U.C. Maule,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.0
U.C. Maule,CL,U.C. Maule,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',36.0
U.C. Maule,CL,U.C. Maule,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',8.0
Universidad de Talca,CL,Universidad de Talca,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',40.0
Universidad de Talca,CL,Universidad de Talca,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',45.0
Universidad de Talca,CL,Universidad de Talca,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',27.0
Universidad de Talca,CL,Universidad de Talca,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',43.0
Valdivia,CL,Valdivia,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',52.0
Valdivia,CL,Valdivia,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',56.0
Valdivia,CL,Valdivia,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.94
Valdivia,CL,Valdivia,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.58
Valdivia,CL,Valdivia,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',677.84
Valdivia 2,CL,Valdivia 2,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.0
Valdivia 2,CL,Valdivia 2,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.0
Valdivia 2,CL,Valdivia 2,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',7.0
Valdivia 2,CL,Valdivia 2,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.0
Valle Alegre,CL,Valle Alegre,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',8.0
Valle Alegre,CL,Valle Alegre,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',7.96
Valle Alegre,CL,Valle Alegre,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',7.59
Valparaiso,CL,Valparaiso,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',10.09
Valparaiso,CL,Valparaiso,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',25.77
Ventanas,CL,Ventanas,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',10.21
Ventanas,CL,Ventanas,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',25.77
Ventanas,CL,Ventanas,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',24.3
Ventanas,CL,Ventanas,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',39.59
Ventanas,CL,Ventanas,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.03
Ventanas,CL,Ventanas,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.72
Ventanas,CL,Ventanas,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',19.07
Ventanas,CL,Ventanas,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',12.67
Ventanas,CL,Ventanas,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',10.11
Ventanas,CL,Ventanas,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',42.86
Aisén,CL,Vialidad,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.0
Aisén,CL,Vialidad,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',12.0
Aisén,CL,Vialidad,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',39.0
Viña del Mar,CL,Viña del Mar,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',23.0
Viña del Mar,CL,Viña del Mar,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.99
Temuco,CL,Ñielol,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',87.0
Temuco,CL,Ñielol,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',92.0
Temuco,CL,Ñielol,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13.0
Temuco,CL,Ñielol,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',21.0
