date,max_temp
2009-07-10,0.193378
2018-03-05,0.004567
2012-01-05,0.042909
2009-06-09,0.192272
2009-08-25,0.005069
2015-08-18,0.018523
2018-08-03,0.104556
2015-01-29,0.196646
2018-02-09,0.002004
2012-10-03,0.098358
2012-11-23,0.030408
2009-04-23,0.102441
2012-05-07,0.314283
2012-08-16,0.021428
2012-06-23,0.458687
2009-08-12,0.175739
2015-06-09,0.057911
2012-01-14,0.080311
2009-12-23,64.776009
2015-03-16,0.078062
2009-02-09,0.530426
2012-09-14,0.494167
2012-04-10,0.299594
2012-05-03,0.000106
2012-08-21,0.176848
2009-03-16,0.02118
2009-09-29,0.177341
2009-10-27,0.476633
2018-02-01,0.021639
2018-12-10,0.044585
2015-07-07,0.102193
2009-06-30,0.211471
2009-05-27,0.32643
2009-07-23,0.154337
2015-11-12,0.199919
2012-09-05,0.408767
2009-05-29,0.243576
2018-08-23,0.032764
2018-08-30,0.082741
2009-10-14,0.466251
2009-04-07,0.466498
2012-03-23,0.406579
2009-04-21,0.612863
2015-03-30,0.290871
2009-11-09,0.047277
2015-01-16,0.01522
2012-07-12,0.052588
2009-10-01,0.371462
2012-10-29,0.686961
2009-03-30,0.364061
2009-01-27,0.518556
2009-09-05,0.961701
2015-03-10,0.029951
2012-11-05,0.083778
2012-06-03,0.036444
2015-06-01,0.004473
2012-05-16,0.012508
2009-09-27,0.061385
2012-09-10,0.049796
2018-11-27,4.75292
2012-10-25,0.061161
2012-11-09,0.455704
2012-06-21,0.004147
2009-11-18,0.025435
2009-07-14,0.490642
2018-07-27,0.083785
2012-06-05,0.074093
2012-05-29,0.213897
2012-04-05,0.07068
2012-10-16,0.173125
2012-03-09,0.438387
2009-09-14,0.406916
2009-11-05,0.116167
2012-08-07,0.039958
2012-10-12,0.060724
2009-07-01,1.736207
2018-01-29,0.002022
2012-05-18,0.345138
2012-08-01,0.123025
2015-11-27,0.278102
2009-04-29,0.562364
2012-02-16,0.045376
2009-08-21,0.008155
2012-01-23,0.140273
2012-07-27,1.072306
2018-10-29,0.085406
2015-09-16,1.742311
2012-11-07,0.151794
2018-04-27,0.019237
2009-04-16,0.609589
2015-06-18,0.04397
2012-02-03,0.550125
2009-03-09,0.046758
2009-12-09,0.16625
2015-10-30,0.010266
2009-09-03,0.351942
2018-11-30,0.002056
2009-07-27,2.530687
2015-05-29,0.16369
2015-07-10,0.021379
2012-04-03,1.141125
2009-02-27,0.069259
2009-10-23,0.004052
2015-04-27,0.138239
2012-02-07,0.077045
2018-05-30,0.00316
2012-11-27,0.00035
2015-04-29,0.130361
2009-03-23,0.250356
2009-06-23,0.35535
2009-02-05,0.001136
2012-10-10,0.022612
2012-09-12,0.022639
2009-11-03,0.101577
2009-04-27,0.221786
2009-06-10,1.950628
2015-05-14,0.013658
2009-07-03,0.556587
2009-12-30,0.001026
2009-11-27,0.520451
2012-05-12,0.240053
2009-09-01,0.451181
2018-05-16,0.011111
2015-02-18,0.20636
2009-10-21,0.177357
2018-01-10,0.006331
2012-07-05,0.332393
2012-10-01,0.419392
2015-04-01,0.019462
2015-12-09,2.256395
2015-10-16,0.433962
2012-08-30,0.021744
2018-02-03,0.337677
2018-06-07,0.151544
2012-12-03,0.326484
2009-07-29,0.058866
2009-09-25,0.237356
2012-03-30,0.072813
2015-11-16,0.93
2015-09-03,0.012861
2009-06-01,0.105166
2018-02-16,0.128571
2015-10-05,0.018694
2015-05-05,0.357504
2015-02-12,0.140255
2012-12-18,0.774361
2018-04-12,0.004034
2015-04-16,1.43287
2009-03-05,0.01154
2012-07-30,0.093403
2015-08-03,0.040761
2012-03-29,0.676476
2012-09-21,0.07964
2009-11-25,0.144803
2018-01-23,0.004966
2012-12-05,0.053527
2012-09-07,2.387448
2009-06-25,0.145864
2015-06-12,0.795315
2012-05-14,0.094499
2018-12-14,0.001439
2012-02-23,0.07942
2018-10-18,0.041878
2018-01-05,0.042126
2015-07-03,0.095028
2012-04-09,0.244317
2015-03-18,0.119574
2009-09-23,0.155181
2015-05-18,0.117936
2012-11-14,0.076331
2015-09-30,0.087167
2009-06-12,0.0277
2012-02-10,0.133548
2009-07-07,0.129235
2015-04-30,0.051517
2009-12-29,1.477413
2018-09-07,0.023289
2012-09-25,0.012683
2012-03-05,0.231476
2009-09-10,0.491081
2018-06-30,0.035933
2015-04-09,0.121352
2012-05-23,0.020919
2015-08-12,0.068604
2018-03-29,1.427841
2009-11-23,0.240254
2009-10-30,0.046169
2009-03-25,0.479204
2009-06-16,0.305126
2018-12-03,0.014646
2009-04-09,0.350577
2015-11-30,0.109712
2009-07-09,0.59874
2012-02-14,0.08549
2012-08-09,0.16254
2015-11-25,0.044106
2015-04-07,0.212939
2015-09-05,0.086786
2018-04-09,0.699514
2009-06-03,0.168754
2012-05-30,0.110102
2012-06-25,0.167138
2015-07-23,0.177512
2012-02-01,0.265199
2015-07-09,1.633992
2015-09-01,2.080171
2009-06-27,0.025104
2015-12-29,0.049885
2018-10-03,0.083615
2018-03-23,0.033176
2009-01-30,0.201381
2009-09-21,0.06275
2015-12-14,0.378062
2009-11-12,0.144383
2018-06-05,0.012457
2009-04-01,0.006911
2009-12-07,0.212067
2018-07-12,0.018698
2015-11-05,0.875853
2018-07-03,0.067799
2012-07-10,0.122899
2018-07-09,0.03288
2018-04-16,1.568076
2009-02-25,0.169089
2018-06-01,2.893401
2012-04-18,0.118404
2012-06-01,0.023563
2015-06-05,0.133345
2009-12-01,2.52492
2009-08-07,0.516254
2009-06-18,0.354257
2018-03-14,0.002625
