lat,lng
-28.5768479351432,-70.7538869976997
-28.5815348348337,-70.7394089129041
-28.5789881511889,-70.7550875492452
-28.5837155035198,-70.753033526391
-28.5926178620836,-70.7491335140647
-27.37,-70.3368
-27.3566,-70.3532
-27.41,-70.2734
-30.0371136887134,-70.7124562561512
-27.4101213809267,-70.2711188793182
-27.4144143997983,-70.2711510658264
-27.3625322332399,-70.308903157711
-27.3615509623692,-70.3289340128499
-27.4131238925273,-70.2755445241928
-27.3524530539594,-70.3522074222565
-27.3613483166954,-70.3392523527145
-27.4071521238675,-70.2688926458359
-27.3840001365086,-70.330957621336
-27.3643,-70.3159
-27.3613578452493,-70.3393489122391
-27.3525785312017,-70.3290179284522
-27.3612435025483,-70.3394454717636
-27.3867913962951,-70.3138634607785
-27.3873296345346,-70.3146243095398
-27.3612530311112,-70.3249374032021
-27.3574748916127,-70.3529262542725
-27.3566458752836,-70.3536665439606
-27.3593639774763,-70.3521993756294
-27.3592067534007,-70.3146967291832
-27.3620677202095,-70.3479266166687
-27.3637709251261,-70.3341239690781
-27.4059710660006,-70.269820690155
-27.3723532499073,-70.3202784061432
-27.3692781720132,-70.3257662057877
-27.3614936270535,-70.3510084748268
-27.3618366540275,-70.32889097929
-27.3779529592584,-70.3362268209457
-27.3594997617256,-70.3279548883438
-27.4086522396521,-70.2771162986755
-27.3697235991222,-70.3122639656067
-27.3610314918109,-70.3389894962311
-27.3574796560564,-70.3476637601852
-27.3797392806826,-70.3424441814423
-27.3617913935848,-70.3289043903351
-27.3643235678042,-70.3158608078957
-27.361557944692,-70.3421021997929
-27.3614531307433,-70.3283759951591
-27.3708978983624,-70.3363153338432
-27.373386990443,-70.3274586796761
-27.372667660493,-70.3094959259033
-27.3467305496348,-70.3505390882492
-27.3638352414417,-70.3430047631263
-27.4100237562615,-70.2772235870361
-27.3595521696369,-70.3538274765015
-27.3567316358813,-70.3223437070847
-27.3612839989351,-70.3512579202652
-27.3710574877639,-70.3105339407921
-27.3830212736041,-70.3302079439163
-27.3746565249395,-70.3374740481377
-27.3740253323106,-70.3377717733383
-27.3539586762462,-70.3191840648651
-27.3805919413802,-70.3035950660706
-27.3649167027815,-70.3331208229065
-27.3228033737289,-70.5365154147148
-27.361295899,-70.3393010929999
-27.361330188,-70.3393590259999
-27.3822948612265,-70.3329330682755
-27.3820471654235,-70.3324234485626
