lat,lng
-18.4754,-70.3146
-18.4913,-70.297
-18.4993,-70.3088
-18.4907,-70.2973
-18.4812,-70.3244
-18.4722,-70.3005
-18.4918,-70.2863
-18.5014241964037,-70.3091847896576
-18.4711020265384,-70.3112125396729
-18.4711020265384,-70.3112232685089
-18.51902216784813,-70.17778805995869
-18.4788814974625,-70.3207021951675
-18.431,-70.2947
-18.3971209345482,-70.31500518322
-18.4699,-70.3031
-18.4811735502592,-70.28998285532
-18.4347388813559,-70.2911281585693
-18.4348711989451,-70.2916230261326
-18.4956832376267,-70.3039759397507
-18.4590836022688,-70.2807050943375
-18.4875000674641,-70.299180150032
-18.4711656273062,-70.3122827410698
-18.4722557408015,-70.3078745305538
-18.4897121310573,-70.2718096018361
-18.4713259011367,-70.3206968307495
-18.4750744852329,-70.3152358531951
-18.4991769277543,-70.2958434820175
-18.469,-70.283
-18.4992,-70.2954
-18.486,-70.2859
-18.4337986275085,-70.289532919574
-18.4942,-70.298
-18.491,-70.2938
-18.5772569651652,-69.957686662674
-18.4477869409528,-70.2946203947067
-18.479900811842,-70.3185064722554
-18.4988,-70.2828
-18.4347388813559,-70.2911657094955
-18.4787872788549,-70.3083372780707
-18.8062637998508,-70.1547914743423
-18.4931675331116,-70.3127655386925
-18.4861365917406,-70.2861995995045
-18.4504966808462,-70.2889394760132
-18.437704552108,-70.2881053090096
-18.4291610934227,-70.2897977828979
-18.4903770673948,-70.2957710623741
-18.5443849739485,-70.2514314651489
-18.4767620755589,-70.2824382233576
-18.4763375631201,-70.2906543014251
-18.4403597445774,-70.2929332852364
-18.519101172242,-70.1782232522964
-18.4878816352201,-70.2949154376984
-18.4781997266777,-70.3039035207621
-18.4766343578034,-70.2985471473949
-18.4934575150913,-70.2906453609467
-18.4759958260062,-70.2880579224438
-18.576203924512,-69.9608867816278
-18.4766530126012,-70.3134173154831
-18.4837250445298,-70.2998319268227
-18.4953958030855,-70.3124195337296
-18.479900811842,-70.3185064722554
-18.479900811842,-70.3185064722554
-18.479900811842,-70.3185064722554
-18.3652020952762,-69.6334987878799
-18.4892196594373,-70.2948859333992
-18.4767598585746,-70.3208041191101
-18.4600402223317,-70.2998614311218
-18.4939611668367,-70.2992552518845
-18.4859229117261,-70.2951407432556
-18.4765156394638,-70.313218832016
-18.5168376039028,-70.1809403300285
-18.4775942712454,-70.3206646442413
-18.478861146135,-70.2929547429085
-18.4772300733025,-70.3257021803104
-18.479900811842,-70.3185064722554
-18.4942842154284,-70.2984210849218
-18.4930352604666,-70.3129854798318
-18.4800160801464,-70.2791601419449
-18.4702624941922,-70.2921715378761
-18.5870858038354,-70.2418291568756
-18.4772177684698,-70.2915090322494
-18.4535066047064,-70.0700175762177
-18.4875712935097,-70.3125375509262
-18.4738037663799,-70.2920052409172
-18.4746814410679,-70.3126206994057
-18.4376040432978,-70.2912354469299
-18.4719212026244,-70.2844038605691
-18.5336254467001,-70.2089855074883
-18.4550738814481,-70.2810215950012
-18.4404055453139,-70.2844467758723
-18.5486150579999,-70.3308535529999
-18.5876400243435,-69.8197460174561
-18.493324824,-70.3256531289999
-18.4952215615581,-70.3136037290096
-18.4773627730151,-70.3125241398811
-18.4995500709999,-70.309231032
-18.474370571,-70.3083629579999
-18.4733712873455,-70.3042709827423
-18.4747603043707,-70.3125938773155
-18.4820677223692,-70.2894128859043
-18.4779300703206,-70.3140556812286
-18.4549670221247,-70.2812522649765
-18.348611111,-70.3386111109999
-18.4731677674225,-70.3064113855362
-18.481148533,-70.3193987729999
-18.4774721623277,-70.3087341785431
-18.5232365579418,-70.2239763736725
-18.3994811071146,-70.2831267529934
-18.4798340240496,-70.3213701348524
-18.4322111884483,-70.2916039431305
-18.4950447761775,-70.300440788269
-18.4622282162613,-70.3007841110229
-18.4690845979435,-70.2875165641308
-18.4812867529605,-70.3170771896839
-18.4848994443406,-70.2861964747899
-18.4846936273399,-70.2858967682404
-18.4874835328421,-70.3104387223311
-18.1963477968939,-69.5592144192051
-18.4763630023429,-70.2882850170135
-18.4631402961906,-70.2924290299416
-18.4310320963707,-70.2948118651123
-18.4715072119999,-70.3204256329999
-18.4806021439999,-70.3328089889999
-18.4664718272903,-70.2882206439972
-18.4760322633196,-70.2987694417775
-18.4328603300926,-70.2872165960653
-18.4399292508806,-70.2934359879214
-18.4800144410154,-70.3188581566008
-18.480212626755,-70.2876047362457
-18.4991733240147,-70.2610803169447
-18.4640447885909,-70.2874841274675
-18.479900811842,-70.3185064722554
-18.4951386719884,-70.3044504436451
-18.3829737406647,-69.9475117271842
-18.4004973428603,-70.2806079130983
-18.4440809723108,-70.2924688421056
-18.4774998640568,-70.3207891904907
-18.4768207355669,-70.3136072878742
-18.4302713171542,-70.2894671569486
-18.4667419151236,-70.2880010602362
-18.4383737703816,-70.2884259988273
-18.4612962661327,-70.2769438898331
-18.4401005924077,-70.290923652492
-18.4722199193077,-70.304856220953
-18.4911397484404,-70.3114844167474
-18.4346546005653,-70.2935804562753
-18.8315,-69.7443
-18.9802028377432,-69.7270703315735
-18.8269211688625,-69.6823638101808
-18.9662868740282,-69.6964360301549
-18.92193235642984,-69.61325575130392
-18.9657280404369,-69.6960442630375
-18.7509888798927,-69.6922656649648
-18.7501609942076,-69.6913041454466
-18.8337489479422,-69.7450733184814
-18.826858863683,-69.6828885019563
-19.0106579641807,-69.8582186033196
-19.0106790557104,-69.8593175734839
-18.8178578655124,-69.7077392563274
-18.9127507958375,-69.9296228224001
-19.0103417403113,-69.8599524035227
-19.0109533889114,-69.8583789234701
-18.8328038655242,-69.7439378046108
-18.7395836441756,-69.5826762914658
-18.8190726512186,-69.709694981575
-19.0106708888501,-69.858226177984
-19.1595826833043,-70.1801410317421
-18.8194788624562,-69.7096037864685
-18.8268133452386,-69.682685136795
-18.8932153056974,-69.4924119114876
-18.9444893180347,-69.510315656662
-18.9844537561106,-69.7842872155888
-19.0114503403941,-69.8606050721833
-18.7501828200995,-69.6912387013435
-18.9363557438351,-69.538052380085
-18.8366924892246,-69.6831479781716
-19.0096407983111,-69.8638973503494
-18.8951684887707,-69.4970361901096
-19.1626186517027,-70.2140376823969
-18.2783,-69.1257
-18.5813680610597,-69.4938603043556
-18.1958931174355,-69.5619401335716
-18.2829,-69.1354
-18.33480243975,-69.5945933474286
-18.2637964933104,-69.6022966504097
-18.5813680613701,-69.4941580308659
-18.4894689479656,-69.5263311266899
-18.3532704673765,-69.5523297786713
-18.5816502662319,-69.4956117868423
-18.6811454380141,-69.4163525104523
-18.2015191953119,-69.2688524723053
-18.196553575642,-69.5598127107782
-18.0553964886205,-69.2000082135201
-18.054682450827,-69.1997265815735
-18.1964740795379,-69.5596361160278
-18.3347005978983,-69.5008662343025
-17.5950469026978,-69.4833487272263
-17.5947349817707,-69.4821310043335
-17.9925500697139,-69.6607500314713
-17.9922439446349,-69.6597146987915
-17.5940395495684,-69.4809347391129
-17.8343710352096,-69.7044593095779
-17.7156993509069,-69.697984457016
-17.5941980674383,-69.4806450605392
-17.5942696561081,-69.4813692569733
-17.5948986124881,-69.4856232404709
-17.9018807049201,-69.3470898270607
-17.9953408855202,-69.6677076816559
-17.5950213366773,-69.484566450119
-17.5931958230823,-69.4823241233826
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5950370992227,-69.481634657817
-17.7664858244797,-69.4122862815857
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
-17.5948167971479,-69.4809508323669
-17.5942441287693,-69.4810886043606
-17.5942441287693,-69.4810886043606
