lat,lng
-32.8346349064947,-71.1157983885739
-33.3842866313209,-71.6801901006909
-36.6309,-73.0589
-36.6912,-73.1132
-33.0284278539649,-71.637521982193
-33.0268,-71.6419
-33.0591945767208,-71.6070735454559
-33.0792,-71.5845
-33.0525551100496,-71.6026972240627
-33.0211,-71.2651
-33.0475970890994,-71.5803614258766
-33.0665,-71.5993
-33.0267693744141,-71.6420133411884
-33.0525551100496,-71.6026972240627
-33.0283,-71.6378
-33.0446219689224,-71.6518610715866
-33.0507,-71.6112
-33.0579,-71.5784
-33.0459,-71.6133
-33.0396,-71.6295
-33.022,-71.6405
-33.06,-71.6121
-33.0434921651097,-71.597543656826
-33.1134800115336,-71.5700858831406
-33.026771623221,-71.6419637203217
-33.0473109561198,-71.6196262836456
-33.049,-71.6168
-33.0620899264535,-71.5634340047836
-33.0421858465172,-71.6459468007088
-33.0568521511158,-71.6451662778854
-33.0468,-71.6061
-33.062009001823,-71.562956571579
-33.0212854879821,-71.2629997730255
-33.0525551100496,-71.6026972240627
-33.0479,-71.6504
-33.05,-71.6023
-33.0464,-71.6198
-33.0191,-71.64
-33.0481,-71.6055
-33.0505444748414,-71.6109439730644
-33.0205568261753,-71.6389489173889
-33.0235,-71.6389
-33.0266827953024,-71.6421756148338
-33.0550042435609,-71.6323506832123
-33.0210875804328,-71.6378331184387
-33.0208469422459,-71.6390883922577
-33.0402425023181,-71.6289952397346
-33.0209009172234,-71.6393002867699
-33.0210426013823,-71.6376185417175
-33.0210291076627,-71.6379243135452
-33.0208851745251,-71.6387182474136
-33.0482647903046,-71.5868657827377
-33.0232150633037,-71.638594865799
-33.0500875415228,-71.6200876235962
-33.0574501274925,-71.5957117080688
-33.0208525646409,-71.6391018033028
-33.0452694917386,-71.6486477851868
-33.0204758633805,-71.639506816864
-33.0385062408747,-71.6274154186249
-33.0384927498288,-71.6274154186249
-33.0559664192446,-71.5808737277985
-33.0557416127833,-71.6266188025475
-33.0208491912039,-71.6386860609055
-33.052194090826,-71.6027230024338
-33.0390717386908,-71.6007864475251
-33.1145538759538,-71.5767431259155
-33.0286662226979,-71.6503563523293
-33.0391268267361,-71.6008508205414
-33.0488577610556,-71.6130119562149
-33.0219298089141,-71.6403906047344
-33.0537812761136,-71.6207259893417
-33.0476122254907,-71.6143584251404
-33.1159107904634,-71.5770408511162
-33.0502921285632,-71.6114562749863
-33.0503775603735,-71.6114777326584
-33.0503370926842,-71.6114240884781
-33.0285672772644,-71.64022564888
-33.0570724586745,-71.6445171833038
-33.0648120977579,-71.5659230947495
-33.0525551100496,-71.6026972240627
-33.0506968048256,-71.6111397743225
-33.0586415720737,-71.6148734092712
-33.0525551100496,-71.6026972240627
-33.0527471348751,-71.6103350212506
-33.0381599700423,-71.6441201260022
-33.0254954160475,-71.6391313076019
-33.0477369888188,-71.6460621356964
-33.0522975060362,-71.6093480587006
-33.0525551100496,-71.6026972240627
-33.0242248125754,-71.6443213820457
-33.0334469537855,-71.6412878036499
-33.0525551100496,-71.6026972240627
-33.0448243214117,-71.6501068152138
-33.0747042672844,-71.5844678878784
-33.0528241003618,-71.5963554382324
-33.0453650226102,-71.5828263759613
-33.04075921656,-71.6263720393181
-33.0406243094581,-71.6261266171932
-33.0821928956048,-71.6558468341827
-33.046223516416,-71.6219061613083
-33.037792764,-71.630196699
-33.0525551100496,-71.6026972240627
-33.0435208224358,-71.601690351963
-33.035708896,-71.5994972999999
-33.0525551100496,-71.6026972240627
-33.047863196,-71.6213740429999
-33.0206962613762,-71.6406118869781
-33.0311136569999,-71.5902424479999
-33.035049354,-71.5983706759999
-33.0432179169999,-71.623806922
-33.0208177057859,-71.6404455900192
-33.0599330348265,-71.5939991176128
-33.0480390442671,-71.631572842598
-33.0403634884754,-71.602036356926
-33.0543311007281,-71.6153830289841
-33.0449071558255,-71.6223835945129
-33.042891136,-71.6290817769999
-33.0217056459999,-71.647270706
-33.0402578107884,-71.6457831859589
-33.0473109298904,-71.6035008430481
-33.0472614938858,-71.6070225834846
-33.0458578626699,-71.602564752102
-33.0457561152706,-71.6025459766388
-33.0220501266117,-71.64022564888
-33.0241326087788,-71.6399708390236
-33.0296781582542,-71.642918586731
-33.0522975060362,-71.5595930814743
-33.030444003,-71.6306575419999
-33.1127139203155,-71.5745034813881
-33.0483379191766,-71.6087552905083
-33.031147222,-71.5900583329999
-33.0597340901017,-71.6086828708649
-33.0755898105913,-71.5846985578537
-33.0575670246554,-71.561154127121
-33.0603792538451,-71.5930509567261
-33.0395836021828,-71.6305603840422
-33.0646475683352,-71.5813075319872
-33.0619304298497,-71.6114327022254
-33.0362980109999,-71.6329467549999
-33.058981656189,-71.6099599727618
-33.1163417102153,-71.549665198999
-33.0324438788559,-71.65376101615
-33.0476643412149,-71.6032462318609
-33.0450829229888,-71.6034742750143
-33.0432179169999,-71.623806922
-33.020362587,-71.6431998779999
-33.0464206316575,-71.624910235405
-33.061381256868,-71.6109799906044
-32.456625245171,-71.2293939063611
-33.0565336823289,-71.6106658583894
-33.0234829733597,-71.5535489812098
-33.0414995303329,-71.6337505734552
-33.0463357529293,-71.6025998005763
-33.0444174901023,-71.6163834929466
-33.054839787012,-71.5771293640137
-33.0338902729999,-71.6353528729999
-33.0588119849815,-71.6086921512388
-33.0647991026554,-71.6118723792883
-33.0592827131195,-71.6069066491867
-33.060087810705,-71.6039218815025
-33.0457135367516,-71.6103485226631
-33.0606710780398,-71.6064638783313
-33.0457029309417,-71.610211908051
-33.0523801406091,-71.6022953906681
-33.0372932863155,-71.6508707776626
-33.0348758849693,-71.6421731064111
-33.0619220707757,-71.6317662048462
-33.0484882887512,-71.6436219271728
-33.0478910111545,-71.6504716873169
-33.0525551100496,-71.6026972240627
-33.0522331602169,-71.6025206239837
-33.0431567639999,-71.6238627119999
-33.0508413092412,-71.6105029759032
-33.3147,-71.4122
-33.1832,-71.686
-33.1926,-71.6879
-33.3198670404595,-71.4104595780373
-33.323258060315,-71.3896107673645
-33.320268232109,-71.3967078924179
-33.3204183983408,-71.4084157347679
-33.3202637495309,-71.4121949672699
-33.3123558539907,-71.4090658612579
-33.3123558539907,-71.4090658612579
-33.3207599562004,-71.4110495428948
-33.3682410564227,-71.2942030463126
-33.3200676365151,-71.4101229608059
-33.3204789130178,-71.4099901914597
-33.3091751480954,-71.4165173771271
-33.325443909055,-71.3993803083844
-33.3109092085986,-71.4172956475372
-33.3198029423614,-71.4104327214417
-33.21218193494,-71.5760016376188
-32.9278417732083,-71.5183514356613
-32.9282,-71.5165
-32.7861696200861,-70.7160383462906
-32.9343748850905,-71.542974114418
-32.9278687891371,-71.5169084072113
-32.928084916271,-71.5206849575043
-32.9347,-71.5415
-32.9343433688241,-71.5177398920059
-32.9336,-71.4394
-32.927172000668,-71.5197689831257
-32.9204931342788,-71.5239679813385
-32.9261352503173,-71.5193277597427
-32.9337850788147,-71.5392780303955
-32.9223438600339,-71.5127912163734
-32.9208465909297,-71.5148233040511
-32.9213487057403,-71.5138989686966
-32.9320831730102,-71.5155297517776
-32.9287062788397,-71.5156745910645
-32.9290124536931,-71.5151059630807
-32.9359731953039,-71.5426576137543
-32.9214027089303,-71.5138740599974
-32.9336432545474,-71.5386329592911
-32.9328665940352,-71.5392136573792
-32.9336725199183,-71.4396017763647
-32.9236451987624,-71.5083146095276
-32.9244489572398,-71.5138855576515
-32.9334879219188,-71.5396857274754
-32.9320854242299,-71.5155270695686
-32.925340512724,-71.5134081244469
-32.9337702485254,-71.5383654741556
-32.9371392681942,-71.53504550457
-32.9276941044083,-71.5104451335544
-32.9300563814927,-71.5179280760783
-32.9288968076406,-71.5498962814891
-32.9348701392308,-71.5430277585983
-32.9350142126418,-71.5430170297623
-32.9350142126418,-71.5430599451065
-32.9337580646926,-71.5392565727234
-32.9276571641403,-71.5165919065475
-32.92645044172,-71.5194725990295
-32.9259461349367,-71.5194538235664
-32.933387950544,-71.5211127857139
-32.9338340078618,-71.4398806849941
-32.9325903323097,-71.5163558371348
-32.9208465909297,-71.5148233040511
-32.9283738568699,-71.5485949664647
-32.937091924118,-71.5164369693767
-32.922102746212,-71.5242005031254
-32.9293434997419,-71.5468162762685
-32.9340840874603,-71.5400724009226
-32.9337523452404,-71.4398703692725
-33.6339653437223,-78.8315016031265
-33.6420736696459,-78.8318207859993
-33.6352272830513,-78.8313479025416
-33.6352272830513,-78.8313479025416
-32.7272,-71.4182
-32.7257,-71.4161
-32.7253786131824,-71.4161163568497
-32.7428,-71.4849
-32.7263,-71.4175
-32.7422,-71.486
-32.7422,-71.4846
-32.7256535182736,-71.4159078352583
-32.6638416297031,-71.4413291215897
-32.725078502733,-71.4164650439398
-32.6956560075524,-71.4063316583633
-32.725,-71.4163
-32.732,-71.4069
-32.7582267002992,-71.3311278820038
-32.7164064540084,-71.4900809526443
-32.6315506032763,-71.4179134368896
-32.6459653416874,-71.4310884475708
-32.6318668399411,-71.4189165830612
-32.7383117366392,-71.4556467533112
-32.720796756104,-70.9218577297325
-32.6948027751988,-71.4069163799286
-32.7198388176878,-71.4086544513702
-32.7385102765954,-71.4548850059509
-32.7280773053721,-71.4096093177795
-32.7416270703146,-71.4835886657238
-32.7223955155637,-71.4870151877403
-32.7339617956876,-71.4875328540802
-32.7223548978122,-71.4871144294739
-32.7277884860311,-71.417076587677
-32.6460150280876,-71.4321613311768
-32.7264030427461,-71.4153760671616
-32.724791930158,-71.4118623733521
-32.6889969670958,-71.3986122608185
-32.7419305091203,-71.4864599704742
-32.6459608247406,-71.4311099052429
-32.7301486541638,-71.4873021841049
-32.7249543966128,-71.4154833555222
-32.7400715071993,-71.4864706993103
-32.7270122794161,-71.4165937900543
-32.7231605343259,-71.4142655806711
-32.712057701,-71.4888229966164
-32.7255230268732,-71.417436003685
-32.7363847893276,-71.4804066307107
-32.7284879687614,-71.4165133237839
-32.7284383282324,-71.4170336723328
-32.7300809637875,-71.4872753620148
-32.7295168753197,-71.4019596576691
-32.7877,-71.5276
-32.783,-71.5305
-32.7912,-71.5305
-32.7854483369639,-71.5277635140778
-32.7704604189134,-71.5308022499084
-32.7856945960331,-71.5283578459639
-32.795770576709,-71.5373682975769
-32.7854483369639,-71.5277635140778
-32.7899082087968,-71.5277016162872
-32.7888799998234,-71.5290856361389
-32.7834438237548,-71.528909683293
-32.7968347805137,-71.5275594592094
-32.7695943702373,-71.536837220192
-32.7909950307977,-71.5308076143265
-32.7887379437018,-71.5033820271492
-32.787558006,-71.528073675
-32.7409222219999,-71.4907083329999
-32.7975307261515,-71.5277721396005
-33.0405298743639,-71.5438887476921
-33.0633,-71.5389
-33.0145113996827,-71.51451587677
-33.0234129660768,-71.5585470199585
-33.0361722591949,-71.5339136123657
-33.0434932892998,-71.5623450279236
-32.9843,-71.5395
-33.0524323952583,-71.5350723266602
-33.0099590639142,-71.5409302711487
-33.0267007857742,-71.5441489219666
-33.010174990287,-71.5053105354309
-33.0164849801305,-71.5394403040409
-33.0333974837664,-71.5084111690521
-33.0344588344444,-71.5008151531219
-32.995,-71.5474
-32.987,-71.5456
-33.0208986682667,-71.5556395053864
-32.9823,-71.548
-33.0229,-71.5584
-33.0409278501468,-71.5694743394852
-33.0257382903782,-71.509465277195
-33.001492534018,-71.5015554428101
-33.0339,-71.5598
-33.0295,-71.5823
-33.0481967750614,-71.5102082490921
-32.9899,-71.5283
-33.0029,-71.5064
-33.0229,-71.5075
-33.0575625286135,-71.5324813127518
-33.0326531814911,-71.4816775918007
-33.0256123556236,-71.5470564365387
-33.0452200283581,-71.5669906139374
-33.0221,-71.5173
-32.9976,-71.5201
-33.028007,-71.545915
-33.0576884176987,-71.5374112129211
-32.9911174528089,-71.5065765380859
-33.030262826835,-71.5247082710266
-33.0305,-71.4945
-33.0429356892482,-71.5653383731842
-33.0048554002175,-71.5048572421074
-33.0369907337984,-71.5410965681076
-32.9872118590693,-71.5452754497528
-33.0192884005151,-71.5154707431793
-33.0365140407232,-71.5796881914139
-32.9976,-71.5201
-33.035902430736,-71.5333074331284
-33.0513982392749,-71.5313601493835
-33.0099140791867,-71.5414559841156
-33.0337122925045,-71.5466916561127
-33.0443971334978,-71.5335649251938
-33.0145,-71.5349
-33.0477,-71.5391
-32.9853984889465,-71.5319448709488
-33.0147,-71.5347
-33.0147,-71.5348
-33.025,-71.5504
-32.9869,-71.5306
-33.0498829540071,-71.5372288227081
-33.0145,-71.5348
-33.0328,-71.4816
-33.0443948851407,-71.5639865398407
-33.0098061157469,-71.5410268306732
-33.0261700653137,-71.4779627323151
-33.0324215695308,-71.5139365196228
-33.00944623666,-71.5410697460175
-33.0234829733597,-71.5535489812098
-33.027269732549,-71.477774977684
-33.0234829733597,-71.5535489812098
-32.9882107716116,-71.5074563026428
-33.0144934067232,-71.5352869033813
-33.0024620423747,-71.4905369281769
-32.9907282510475,-71.5057155489922
-33.019853,-71.564185
-33.034148525611,-71.5471851825714
-33.013229392136,-71.5542769432068
-33.0256191021329,-71.5469411015511
-33.0196707293198,-71.5134859085083
-32.9712142186937,-71.5425771474838
-33.0113355854836,-71.5535044670106
-33.0479764452942,-71.5394657850266
-33.0295259006526,-71.5821048617363
-33.0194368342479,-71.515049636364
-33.0191355948574,-71.5648072957993
-32.9968135504082,-71.5188825130463
-32.9952478351033,-71.5472817420959
-33.0266468143479,-71.4799582958221
-33.0251693337177,-71.5502804517746
-33.0225044087745,-71.5171766281128
-33.0024867860681,-71.5492075681686
-33.0249494828495,-71.5601080656052
-33.0229676842126,-71.50694668293
-32.9957629944987,-71.5134617686272
-33.0392707301007,-71.5465977787971
-33.0289023420337,-71.5221011638641
-33.6415489181481,-78.831048309803
-32.9901455700578,-71.5044522285461
-33.0470276720399,-71.5390956401825
-33.0096183040317,-71.5482138097286
-33.0303781884901,-71.580790579319
-32.9943614839522,-71.4916822315081
-32.9698820774895,-71.5430223941803
-32.9928834623597,-71.5224525332451
-32.9912614345285,-71.5227556229456
-33.0186226946394,-71.5615940093994
-33.0172912678085,-71.5166616439819
-32.9787791457856,-71.5454471110479
-33.0300199649724,-71.4956653118134
-33.0376563009474,-71.5281200408936
-33.0384252945682,-71.5658909082413
-33.0343733871935,-71.4969420433044
-33.0318414126277,-71.5728163719177
-33.019661733367,-71.5211945772171
-32.9997829341598,-71.4816695451736
-33.0294909185131,-71.5821585059166
-32.9945189581573,-71.4889276027679
-32.9915403984418,-71.4901399612427
-33.0229339506464,-71.5117585659027
-33.0322146923136,-71.4973551034927
-33.0418294722468,-71.5581715106964
-32.9909959680503,-71.5056136250496
-33.0250411492991,-71.5079337358475
-33.0297135318916,-71.5706115961075
-33.0413325694379,-71.5103879570961
-33.0348905666555,-71.5328139066696
-33.0394416150205,-71.5466916561127
-33.0355966241503,-71.5448731184006
-33.0472929698561,-71.5613821148872
-32.9848900186767,-71.5308129787445
-32.9897721122656,-71.5281522274017
-33.0440059184908,-71.5655100345612
-33.0336178500012,-71.5823435783386
-33.041694566784,-71.5650486946106
-33.0403005315708,-71.5629780292511
-33.0327004032724,-71.5611004829407
-33.0206018054736,-71.5504467487335
-33.018127909989,-71.5493416786194
-33.0356191099648,-71.502633690834
-33.0216992932404,-71.5503287315369
-33.0062432480936,-71.5412521362305
-33.0032830794027,-71.5372610092163
-32.9938170709638,-71.5205347537994
-33.048500074285,-71.5628197789192
-33.0307305589068,-71.5323686598913
-32.9946539358237,-71.505144238472
-32.9945909462717,-71.5066838264465
-32.9950048767902,-71.5063297748566
-33.0382678987594,-71.5360701084137
-33.0106653211287,-71.4971458911896
-33.0314771261085,-71.5722852945328
-33.0244699391356,-71.5518844127655
-32.9625234296231,-71.5406727790833
-32.7743390212425,-70.9341142346424
-33.0009414166294,-71.5046775341034
-33.0038769206005,-71.5413916110992
-33.0275058556262,-71.5198105573654
-33.0307530459631,-71.54405772686
-33.0019311760096,-71.5436097979546
-32.9927102375083,-71.5203952789307
-33.0442127680214,-71.5583860874176
-33.0282659427597,-71.5653544664383
-33.0295702190151,-71.5684819221497
-32.9890341910181,-71.5257060527802
-33.006330594,-71.542192746
-33.0230284045992,-71.5595233440399
-33.0307057446827,-71.5810507535934
-32.9944919625992,-71.4854514598846
-33.0635825229621,-71.5344285964966
-33.0319695871559,-71.491287946701
-33.0552650211868,-71.5353727340698
-32.990649510598,-71.505868434906
-33.0226078588407,-71.5076333284378
-33.0219016972788,-71.4951530098915
-33.0214384162386,-71.541531085968
-33.0303813686532,-71.5808469057084
-33.041838465937,-71.572322845459
-33.0425489645589,-71.5764963626862
-33.0401566299055,-71.5710353851318
-33.0339416524483,-71.5596520900726
-33.0271235608033,-71.5547704696655
-33.0154740176588,-71.5430009365082
-33.002878185385,-71.5120911598206
-33.0029051783773,-71.5126383304596
-33.004389780236,-71.5127670764923
-33.0405541228628,-71.5673473477364
-33.0279771326263,-71.548378765583
-33.0128335404258,-71.5463510155677
-32.9929262061019,-71.5208002924919
-33.042414060198,-71.5765714645386
-33.0166210487216,-71.5197193622589
-33.036783867309,-71.513249874115
-33.0041108569101,-71.4783811569214
-33.0328330738559,-71.4820075035095
-33.0225044087745,-71.5171927213669
-33.0246408528972,-71.5509402751923
-33.0234829733597,-71.5535489812098
-32.9983274987014,-71.520279943943
-33.0295163600705,-71.5821799635887
-33.0208626849511,-71.5604567527771
-33.0215463654364,-71.5591478347778
-33.0223649758844,-71.5566051006317
-32.9930611862045,-71.5045702457428
-33.0234829733597,-71.5535489812098
-33.0236868712795,-71.5552988648415
-33.0208803939201,-71.5530149822095
-33.0500917404209,-71.5315511998375
-33.0480130945275,-71.5327057938804
-33.0214796428768,-71.5505620837212
-33.0250735167636,-71.5494972467422
-33.0316089030237,-71.5578442811966
-33.0269747101399,-71.5506020650124
-32.9988426401171,-71.5052622558323
-33.0250850018843,-71.5468002855778
-33.0315508240315,-71.5578465638808
-33.0337522769645,-71.5799564123154
-33.0201029139999,-71.5642884199999
-33.0353897543875,-71.5314218401909
-32.9609011772834,-71.5428816544161
-32.9970385072212,-71.5194082260132
-33.0328218817463,-71.481504594202
-32.9497222219999,-71.478611111
-32.456625245171,-71.2293939063611
-33.0055054645831,-71.542064845562
-33.023691828321,-71.5490573644639
-33.041838465937,-71.5318483114243
-33.0249373168965,-71.5429784023163
-33.0251721076991,-71.550532579422
-33.0136522317727,-71.5460908412933
-32.9879737834921,-71.5277461906685
-32.9903615449274,-71.5056002140045
-33.024870236451,-71.5489768981934
-33.0103108152471,-71.4989506678423
-33.0236985633879,-71.5488979937323
-33.0239032233054,-71.5569698810577
-33.0239122188254,-71.5554141998291
-33.0244519483458,-71.5539765357971
-33.0229047148785,-71.5536975860596
-33.0236603439183,-71.548730134964
-32.9928789630172,-71.522428393364
-32.9974681731402,-71.5193197131157
-33.0342003145986,-71.5665611436233
-33.0448115373419,-71.531841000409
-33.0219016972788,-71.4952147006989
-33.0251307631267,-71.5697371959686
-33.0278589340928,-71.4922323263154
-33.0171013096891,-71.543244572513
-32.9908933523027,-71.4964587430316
-33.0401557122788,-71.5079456269837
-33.0034226858797,-71.481918387546
-33.0066376532118,-71.5396735760799
-33.0187170692854,-71.4857830713314
-33.0371493741768,-71.5331901800783
-33.0282164698321,-71.5539443492889
-33.0247968160032,-71.5539998906447
-33.019983017,-71.564330384
