lat,lng
-39.8201065052607,-73.2314246892929
-39.8381176093214,-73.2307648658752
-39.8136,-73.2216
-39.825,-73.2515
-39.8149416546242,-73.2482609152794
-39.8749490343219,-73.3972871303558
-39.8377963180965,-73.2097899913788
-39.8107365574089,-73.2210230827332
-39.8434856278327,-73.2034465670586
-39.8177,-73.2327
-39.831,-73.2148
-39.8154,-73.2461
-39.8108,-73.247
-39.8232,-73.2116
-39.8301,-73.2198
-39.8496,-73.2533
-39.8305,-73.2124
-39.8309,-73.2205
-39.7656,-73.3885
-39.8458,-73.2004
-39.8323434060732,-73.2166336476803
-39.8351476677815,-73.2233726978302
-39.8357943927583,-73.2099401950836
-39.8226650948234,-73.2804179191589
-39.8425990532837,-73.2104229927063
-39.8397528759789,-73.2293701171875
-39.813414993023,-73.222428560257
-39.8477535878389,-73.2223749160767
-39.8174,-73.236
-39.81482099298394,-73.25806599490863
-39.819,-73.2476
-39.8129614857189,-73.2470383707955
-39.8149,-73.2482
-39.8296214222891,-73.2223735749722
-39.8261793950715,-73.2453989982605
-39.8255202199753,-73.2372665405273
-39.8313125047377,-73.2323956489563
-39.8390155691326,-73.2286834716797
-39.8700703359055,-73.3952593803406
-39.8534966385437,-73.2314944267273
-39.8369560108634,-73.2158946990967
-39.8381999914446,-73.229101896286
-39.8515783620147,-73.2308713842459
-39.8158296162873,-73.2408607006073
-39.8148489433483,-73.2242524623871
-39.8189610832504,-73.2469654083252
-39.7847874169578,-73.1124365329742
-39.8392174025199,-73.2578551769257
-39.8259981225505,-73.2462573051453
-39.8277119527249,-73.2356894016266
-39.8233531372759,-73.211270570755
-39.8367912435336,-73.216141462326
-39.827184624917,-73.2149076461793
-39.8337824259649,-73.2369617112687
-39.8377798415829,-73.2217419147491
-39.8129614857189,-73.2470383707955
-39.8129614857189,-73.2470383707955
-39.8694898094487,-73.3954417705536
-39.8421336228059,-73.2031220197678
-39.8168597198522,-73.2469439506531
-39.8353824667256,-73.2297348976135
-39.8095250460991,-73.2175898551941
-39.844295994323,-73.2176220417023
-39.8264430633392,-73.2078588008881
-39.8135736355508,-73.239903151989
-39.8422613075873,-73.2443690299988
-39.8235028517717,-73.213412380154
-39.8123765965264,-73.2465362548828
-39.8137611217026,-73.2229113578796
-39.8325401097651,-73.2290589809418
-39.8129614857189,-73.2470383707955
-39.8008460449163,-73.2060670852661
-39.8132007220145,-73.2481777667999
-39.8319292597187,-73.2212102861229
-39.8774767635181,-73.1745350362507
-39.8200735437431,-73.2314836978912
-39.8129614857189,-73.2470383707955
-39.8276419172335,-73.2072794437408
-39.8359468047642,-73.1999355554581
-39.8118415895457,-73.240357330651
-39.8256232165009,-73.2444763183594
-39.8196368021413,-73.2305610179901
-39.8317326941629,-73.2396440503362
-39.8150137633079,-73.2474160194397
-39.8447161043171,-73.395516872406
-39.8337429766318,-73.220454454422
-39.729039527392,-73.3903348445892
-39.8122282528891,-73.2465147972107
-39.8150302452821,-73.2458174228668
-39.8390258667688,-73.2132017612457
-39.8082146118702,-73.2169353961945
-39.8057255422283,-73.2571685314178
-39.7949563931768,-73.2133546471596
-39.8123024247478,-73.2465147972107
-39.8150199441115,-73.248188495636
-39.8128381080171,-73.2467293739319
-39.8261464364669,-73.2454526424408
-39.5432701377342,-72.5109699368477
-39.8304597594737,-73.2399809360504
-39.8315679143025,-73.2405334711075
-39.8318068449711,-73.2401472330093
-39.8125805685048,-73.2474482059479
-39.8125908701038,-73.2476842403412
-39.8156400755496,-73.2427275180817
-39.8281651218259,-73.2039642333984
-39.8373267359101,-73.2192876935005
-39.8446831546066,-73.211265206337
-39.8356296226417,-73.2153153419495
-39.8429203220386,-73.2278895378113
-39.8086679095551,-73.2165169715881
-39.8160273973694,-73.2407855987549
-39.8129122792176,-73.2466864585876
-39.7267538829597,-73.3921265602112
-39.575535400479,-72.2439908981323
-39.8139259442707,-73.2169032096863
-39.8371125394605,-73.2158410549164
-39.8358026312537,-73.2405710220337
-39.8353165583311,-73.2057559490204
-39.8302373024465,-73.2099375128746
-39.8725138455343,-73.3987087011337
-39.8261752752468,-73.2444441318512
-39.8254460623812,-73.2252287864685
-39.8514004498309,-73.2320684194565
-39.7916589571474,-73.2167744636536
-39.8388013779504,-73.2353889942169
-39.8186561835267,-73.2351744174957
-39.8176425882357,-73.2329213619232
-39.7561767931656,-73.264040350914
-39.8407356397868,-73.2570433338957
-39.8173871269013,-73.2469975948334
-39.8274894867995,-73.2135075330734
-39.8351765027828,-73.2013249397278
-39.8159861930242,-73.2203471660614
-39.8391638549443,-73.2219243049622
-39.8129040379771,-73.2467615604401
-39.8352506498733,-73.2403993606567
-39.811862028164,-73.2404590398073
-39.8717213098259,-73.3992880582809
-39.824478277,-73.224082279
-39.8147922863959,-73.2247366011143
-39.8374795371032,-73.2164782071824
-39.8045551538324,-73.2550120353699
-39.8452597722585,-73.3916115760803
-39.8049755068871,-73.255752325058
-39.8313784169744,-73.2253038883209
-39.8361074548908,-73.2383179664612
-39.8696874360281,-73.3958172798157
-39.8561651712354,-73.229820728302
-39.837334921,-73.2217837389999
-39.8128957967355,-73.2466971874237
-39.8349870154099,-73.208749294281
-39.8262370725915,-73.2099616527557
-39.814642917843,-73.2378673553467
-39.8327913953375,-73.2160019874573
-39.9204668178453,-73.5290586948395
-39.807448634,-73.2151574149999
-39.812830541,-73.2456906729999
-39.8308511173101,-73.2149827480316
-39.8313207437707,-73.2123756408691
-39.8204072783792,-73.2479631900787
-39.7849523089823,-73.2126438617706
-39.8103162395774,-73.2201433181763
-39.8723736258389,-73.3980472561997
-39.8123834036062,-73.248042702655
-39.8324935260704,-73.2160264396423
-39.8420141755374,-73.2042968273163
-39.815367197522,-73.2472728092621
-39.8129614869999,-73.2470383709999
-40.0698731699999,-72.8731420019999
-39.8123548683876,-73.2473209584078
-39.8145194682133,-73.224805906159
-40.0698731699999,-72.8731420019999
-39.888015867,-73.427197937
-39.8053216780612,-73.2572114467621
-39.649444444,-73.0863888889999
-39.8519234734403,-73.2491648197174
-39.8130806523313,-73.2421979235915
-39.8045498032407,-73.2558885371388
-39.8122072317997,-73.2469473228538
-39.8733434250509,-73.3919388055801
-39.8204526002418,-73.2314729690552
-39.8046784400949,-73.2562589259338
-39.8129614869999,-73.2470383709999
-39.796388889,-73.2416666669999
-39.8129614869999,-73.2470383709999
-39.8361978845249,-73.2234388275085
-39.8306902183997,-73.2116869410308
-39.85,-73.2213
-39.8291,-73.2056
-39.8487501565092,-73.2540235578944
-39.8515886690351,-73.2323405274173
-39.8193202961069,-73.2347784322476
-39.8665243705244,-73.3975260441803
-39.8428643476907,-73.2140050275086
-39.8193559068069,-73.2346663601871
-39.796388889,-73.2416666669999
-39.8100512615455,-73.257568404477
-39.8316275859181,-73.2141896621796
-39.8984,-73.4135
-39.8881,-73.43
-39.8895553444389,-73.4328925739254
-39.8777,-73.3715
