CUT,REGION,PROVINCIA,COMUNA,NOMBRE_DIS,CODIGO_DIS,MANZENT,ZONA_CENSA,MANZANA,TOTAL_PERS,TOTAL_HOMB,TOTAL_MUJE,PERSONAS_0,PERSONAS_6,PERSONAS_1,PERSONAS_M,PERSONAS_E,PUEBLOS_IN,TOTAL_VIV_,TOTAL_VIV1,VIV_OCUPA_,TOTAL_VIVI,CANTIDAD_H,VIV_TIPO_C,VIV_TIPO_D,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARED1,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_TECHO_,VIV_TECHO1,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,VIV_MATE_1,VIV_MATE_2,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,geometry
12101,12,MAGALLANES,PUNTA ARENAS,BARRIO YUGOSLAVO,2,12101021002053,2,53,45,25,20,Indeterminado,Indeterminado,30,10,Indeterminado,Indeterminado,22,0,19,22,19,22,0,0,0,0,0,0,0,2,16,1,0,0,0,0,19,0,0,0,0,19,0,0,0,0,18,1,0,19,0,0,0,"POLYGON ((-7891643.735200001 -7011963.661800001, -7891646.0184 -7011963.793200001, -7891648.1657 -7011962.664500002, -7891648.293199999 -7011962.2544, -7891792.6369 -7011869.1171, -7891795.063100001 -7011866.752, -7891795.932700001 -7011864.296999998, -7891795.8682 -7011861.788199998, -7891794.8698 -7011859.2258, -7891701.253699999 -7011712.302700002, -7891699.4011 -7011710.1085, -7891696.5669 -7011708.6928, -7891694.8267 -7011708.175000001, -7891692.000800001 -7011708.429699998, -7891688.999500001 -7011709.9267, -7891545.8388 -7011800.623399999, -7891543.9552 -7011802.602400001, -7891542.3913 -7011806.269499999, -7891542.455700001 -7011808.778299998, -7891543.5339 -7011811.762899999, -7891639.024700001 -7011960.467700001, -7891641.4759 -7011963.114100002, -7891643.2402 -7011963.215700001, -7891643.735200001 -7011963.661800001))"
12101,12,MAGALLANES,PUNTA ARENAS,CENTRO,5,12101051001001,1,1,100,50,50,5,8,67,20,8,14,44,0,38,44,38,43,0,0,0,1,0,0,0,3,30,4,0,1,4,0,34,0,0,0,0,36,1,1,0,0,32,5,1,38,0,0,0,"POLYGON ((-7894430.450300001 -7012134.3266, -7894433.9417 -7012134.535500001, -7894447.720799999 -7012125.784299999, -7894455.443399999 -7012120.8796, -7894456.642000001 -7012120.089899998, -7894588.213099999 -7012033.4047, -7894589.968499999 -7012031.835099999, -7894590.478499999 -7012030.1943, -7894590.486300001 -7012029.090999998, -7894497.1745 -7011877.569400001, -7894494.823999999 -7011876.088199999, -7894491.375499999 -7011876.3083, -7894488.709799999 -7011877.408300001, -7894360.197799999 -7011959.451000001, -7894354.111400001 -7011963.7399, -7894344.9781 -7011970.175900001, -7894342.768300001 -7011971.733100001, -7894340.2039 -7011977.2282, -7894339.939300001 -7011980.1664, -7894340.236199999 -7011988.577300001, -7894425.094900001 -7012130.752999999, -7894430.450300001 -7012134.3266))"
12101,12,MAGALLANES,PUNTA ARENAS,PUNTA ARENOSA,1,12101011002007,2,7,15,7,8,Indeterminado,Indeterminado,12,Indeterminado,Indeterminado,0,4,0,4,4,5,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,"POLYGON ((-7893098.6317 -7007379.335700002, -7893102.1346 -7007379.954100002, -7893104.671399999 -7007379.2652, -7893106.8171 -7007378.136799999, -7893150.5288 -7007334.330400001, -7893151.557399999 -7007332.7203, -7893151.907400001 -7007330.236900002, -7893151.5077 -7007328.127700001, -7893149.990599999 -7007325.537, -7893077.909399999 -7007257.558200002, -7893075.364 -7007256.577399999, -7893074.223099999 -7007256.5119, -7893070.729 -7007257.563200001, -7893017.0967 -7007312.899300002, -7893015.836999999 -7007314.9133, -7893015.5108 -7007316.980799999, -7893016.405300001 -7007319.535799999, -7893018.6483 -7007322.168200001, -7893047.2086 -7007335.908799998, -7893056.489700001 -7007341.0317, -7893064.973300001 -7007347.360399999, -7893097.1471 -7007377.9987, -7893098.6317 -7007379.335700002))"
12101,12,MAGALLANES,PUNTA ARENAS,BARRIO PRAT,4,12101041003042,3,42,50,18,32,Indeterminado,6,37,Indeterminado,Indeterminado,12,19,0,16,19,17,19,0,0,0,0,0,0,1,6,7,1,0,1,1,0,15,0,0,0,0,8,1,6,1,0,8,7,1,16,0,0,0,"POLYGON ((-7894922.0583 -7009648.050099999, -7894920.893300001 -7009648.400899999, -7894919.2333 -7009648.305799998, -7894917.9409 -7009649.066799998, -7894845.875600001 -7009715.481800001, -7894844.8707 -7009716.6765, -7894844.361 -7009718.316799998, -7894844.6339 -7009720.8367, -7894845.472899999 -7009722.554200001, -7894884.5505 -7009765.693100002, -7894887.695900001 -7009767.1252, -7894888.629699999 -7009767.178599998, -7894890.7996 -7009765.633200001, -7894963.7897 -7009697.600699998, -7894964.506999999 -7009695.972100001, -7894963.6916 -7009693.8387, -7894923.854900001 -7009649.404899999, -7894922.0583 -7009648.050099999))"
12101,12,MAGALLANES,PUNTA ARENAS,PUDETO,6,12101061003033,3,33,65,25,40,Indeterminado,Indeterminado,41,13,Indeterminado,18,24,0,21,24,21,24,0,0,0,0,0,0,0,0,15,6,0,0,0,0,21,0,0,0,0,20,0,0,0,0,15,5,0,21,0,0,0,"POLYGON ((-7896395.040899999 -7012123.6906, -7896397.2204 -7012123.814800002, -7896563.2695 -7012089.442899998, -7896565.9822 -7012087.510000002, -7896566.5484 -7012086.707199998, -7896566.944800001 -7012083.389899999, -7896541.4353 -7012002.6107, -7896540.2041 -7012000.4529, -7896538.199200001 -7011999.086199999, -7896534.486500001 -7011998.4571, -7896367.1702 -7012033.1732, -7896365.254799999 -7012033.898899999, -7896364.433800001 -7012035.5222, -7896363.947799999 -7012036.7469, -7896364.0373 -7012038.839600001, -7896390.1678 -7012119.655099999, -7896392.597200001 -7012122.7163, -7896395.040899999 -7012123.6906))"
12101,12,MAGALLANES,PUNTA ARENAS,BARRIO PRAT,4,12101041001071,1,71,46,23,23,Indeterminado,Indeterminado,27,13,0,Indeterminado,22,0,21,22,21,22,0,0,0,0,0,0,2,1,17,0,0,0,2,0,18,0,0,0,0,19,0,1,0,0,19,1,0,20,0,0,0,"POLYGON ((-7893982.551999999 -7012126.048700001, -7893983.773600001 -7012126.536200002, -7893986.9109 -7012126.298599999, -7893987.764900001 -7012125.929900002, -7894137.025800001 -7012030.107999999, -7894138.701099999 -7012028.116599999, -7894139.4188 -7012026.487500001, -7894139.5286 -7012022.736499999, -7894138.5294 -7012020.174199998, -7894051.909700001 -7011875.765299998, -7894049.7689 -7011873.137699999, -7894047.038000001 -7011871.728700001, -7894045.4012 -7011871.217399999, -7894042.3915 -7011871.045000002, -7894039.286800001 -7011872.537, -7893894.552999999 -7011965.692200001, -7893892.2074 -7011968.48, -7893891.5461 -7011970.947299998, -7893891.611099999 -7011973.455899999, -7893892.450200001 -7011975.173999999, -7893980.675000001 -7012124.2711, -7893982.551999999 -7012126.048700001))"
12101,12,MAGALLANES,PUNTA ARENAS,PUDETO,6,12101061003010,3,10,104,50,54,10,13,70,11,Indeterminado,29,40,0,35,40,36,40,0,0,0,0,0,0,1,3,28,3,0,0,2,0,33,0,0,0,0,35,0,0,0,0,32,3,0,35,0,0,0,"POLYGON ((-7895694.082900001 -7012070.423999999, -7895689.918099999 -7012072.533500001, -7895660.930199999 -7011999.829500001, -7895657.964400001 -7011998.8235, -7895520.069700001 -7012080.015299998, -7895517.7481 -7012082.387699999, -7895517.1347 -7012084.022799999, -7895516.9362 -7012085.681299999, -7895517.313100001 -7012088.207800001, -7895578.381200001 -7012241.164500002, -7895579.452 -7012242.478300001, -7895580.834000001 -7012243.809599999, -7895582.7587 -7012244.7546, -7895584.6505 -7012244.445300002, -7895585.6083 -7012244.082400002, -7895774.2662 -7012136.2837, -7895776.380100001 -7012133.8994, -7895776.809599999 -7012131.8365, -7895776.4089 -7012129.726, -7895715.5178 -7011971.773200002, -7895714.6546 -7011970.471500002, -7895712.1546 -7011968.658599999, -7895708.1635 -7011969.265700001, -7895665.342499999 -7011994.479200002, -7895664.603399999 -7011997.5962, -7895694.082900001 -7012070.423999999))"
12101,12,MAGALLANES,PUNTA ARENAS,DIECIOCHO DE SEPTIEMBRE,8,12101081001001,1,1,88,42,46,Indeterminado,11,68,Indeterminado,5,40,40,0,38,40,38,40,0,0,0,0,0,0,0,4,33,0,0,1,0,0,38,0,0,0,0,38,0,0,0,0,37,0,1,38,0,0,0,"POLYGON ((-7897450.7926 -7012225.9857, -7897448.150699999 -7012226.670600001, -7897399.8849 -7012100.760499999, -7897398.0778 -7012097.735100001, -7897395.968900001 -7012096.362599999, -7897393.9638 -7012094.996100001, -7897392.303300001 -7012094.9016, -7897389.0858 -7012094.718499999, -7897352.9441 -7012102.265000001, -7897350.302300001 -7012102.9496, -7897348.132200001 -7012104.496100001, -7897347.519099999 -7012106.131299999, -7897346.8257 -7012107.344300002, -7897346.523800001 -7012108.997200001, -7897346.910800001 -7012113.1941, -7897407.731899999 -7012271.1325, -7897408.2839 -7012272.416299999, -7897409.850400001 -7012274.175500002, -7897410.737400001 -7012275.060899999, -7897412.8935 -7012275.601199999, -7897415.1768 -7012275.7311, -7897470.4946 -7012264.5988, -7897568.7226 -7012244.831300002, -7897573.837300001 -7012239.168000001, -7897574.865700001 -7012236.575100001, -7897573.506999999 -7012229.428100001, -7897533.867900001 -7012127.2667, -7897520.036499999 -7012091.6195, -7897516.166200001 -7012082.120200001, -7897514.9977 -7012079.4027, -7897511.632300001 -7012076.5601, -7897507.752699999 -7012075.013999999, -7897502.6445 -7012072.712900002, -7897412.1218 -7012090.601599999, -7897409.48 -7012091.2863, -7897406.824100001 -7012094.057599999, -7897406.0033 -7012095.6811, -7897405.527000001 -7012098.576499999, -7897406.0886 -7012101.530900002, -7897453.561799999 -7012224.890799999, -7897450.7926 -7012225.9857))"
12101,12,MAGALLANES,PUNTA ARENAS,BARRIO PRAT,4,12101041001026,1,26,32,14,18,Indeterminado,5,22,Indeterminado,0,0,18,0,13,18,13,10,8,0,0,0,0,0,6,2,5,0,0,0,1,0,12,0,0,0,0,13,0,0,0,0,13,0,0,13,0,0,0,"POLYGON ((-7892645.9186 -7012034.702799998, -7892648.097999999 -7012034.8281, -7892650.2213 -7012034.115200002, -7892746.738399999 -7011968.687800001, -7892748.102700001 -7011966.6787, -7892747.830499999 -7011964.158, -7892664.5286 -7011804.060400002, -7892662.492000001 -7011801.4384, -7892659.2425 -7011799.9991, -7892656.2092 -7011800.2421, -7892653.774599999 -7011800.937199999, -7892653.647 -7011801.347399998, -7892547.6566 -7011870.402399998, -7892545.980799999 -7011872.3935, -7892545.598099999 -7011873.6239, -7892545.319 -7011874.8605, -7892546.110200001 -7011877.4109, -7892641.3112 -7012031.5154, -7892643.7629 -7012034.161400001, -7892645.1921 -7012034.660999998, -7892645.9186 -7012034.702799998))"
12101,12,MAGALLANES,PUNTA ARENAS,BARRIO YUGOSLAVO,2,12101021001021,1,21,8,Indeterminado,Indeterminado,0,0,Indeterminado,Indeterminado,0,0,5,0,5,5,5,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,1,0,5,0,0,0,"POLYGON ((-7891920.8983 -7012029.309700001, -7891924.634500001 -7012029.524900001, -7891927.612 -7012028.443700001, -7891927.739499999 -7012028.033599999, -7892076.918199999 -7011932.246300001, -7892078.873199999 -7011929.0189, -7892078.9363 -7011926.100000001, -7892078.1215 -7011923.965599999, -7891978.7017 -7011769.195799999, -7891976.0189 -7011766.9538, -7891973.783500001 -7011765.9901, -7891971.2689 -7011766.262800001, -7891968.8344 -7011766.957699999, -7891821.1821 -7011861.576200001, -7891819.194800001 -7011863.549199998, -7891817.6787 -7011866.384599999, -7891817.5678 -7011870.135499999, -7891818.646199999 -7011873.120299999, -7891915.2773 -7012025.646000002, -7891916.163699999 -7012026.532099999, -7891918.639 -7012028.7621, -7891920.8983 -7012029.309700001))"
