CUT,REGION,PROVINCIA,COMUNA,NOMBRE_DIS,CODIGO_DIS,MANZENT,ZONA_CENSA,MANZANA,TOTAL_PERS,TOTAL_HOMB,TOTAL_MUJE,PERSONAS_0,PERSONAS_6,PERSONAS_1,PERSONAS_M,PERSONAS_E,PUEBLOS_IN,TOTAL_VIV_,TOTAL_VIV1,VIV_OCUPA_,TOTAL_VIVI,CANTIDAD_H,VIV_TIPO_C,VIV_TIPO_D,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARED1,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_TECHO_,VIV_TECHO1,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,VIV_MATE_1,VIV_MATE_2,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,geometry
1101,1,IQUIQUE,IQUIQUE,PUERTO,1,1101011001026,1,26,401,197,204,42,35,275,49,26,58,130,1,113,131,114,76,54,0,0,0,0,0,63,46,3,0,0,0,34,52,25,1,0,0,0,110,0,2,0,0,109,3,0,111,0,0,0,"POLYGON ((-7809604.331800001 -2298785.263099998, -7809588.271600001 -2298786.329599999, -7809587.6743 -2298781.617800001, -7809579.494100001 -2298782.124200001, -7809581.271500001 -2298832.566199999, -7809579.993799999 -2298832.6118, -7809578.217599999 -2298782.203299999, -7809544.146400001 -2298784.312899999, -7809540.603399999 -2298788.017299999, -7809541.929500001 -2298843.458299998, -7809541.9312 -2298843.711599998, -7809538.907600001 -2298843.479400001, -7809537.4418 -2298788.479699999, -7809509.3148 -2298790.376699999, -7809507.8684 -2298787.6752, -7809407.937999999 -2298792.5869, -7809397.945 -2298792.785399999, -7809395.358999999 -2298793.232299998, -7809393.905300001 -2298794.110599998, -7809393.0571 -2298794.716699999, -7809392.538000001 -2298795.149099998, -7809392.032 -2298795.934999999, -7809391.3608 -2298797.493900001, -7809391.1963 -2298798.352600001, -7809391.207599999 -2298799.992400002, -7809391.136299999 -2298801.997099999, -7809391.282600001 -2298804.664900001, -7809394.1164 -2298895.524500001, -7809394.5493 -2298899.583700001, -7809394.940300001 -2298900.6527, -7809395.3181 -2298901.357500002, -7809396.485300001 -2298902.1961, -7809397.1186 -2298902.866999999, -7809397.696799999 -2298903.2808, -7809398.134500001 -2298903.406500001, -7809399.244200001 -2298903.634500001, -7809399.8956 -2298903.833500002, -7809400.4713 -2298903.883099999, -7809401.078199999 -2298903.835999999, -7809403.5505 -2298903.872299999, -7809473.2905 -2298899.533100002, -7809470.930299999 -2298865.3682, -7809439.8707 -2298866.9934, -7809439.804300001 -2298865.708900001, -7809470.8379 -2298864.085099999, -7809468.584899999 -2298834.007399999, -7809423.247500001 -2298835.223700002, -7809423.213500001 -2298833.938000001, -7809469.159700001 -2298832.705400001, -7809469.283399999 -2298832.7141, -7809469.391100001 -2298832.742400002, -7809469.4925 -2298832.789000001, -7809469.5843 -2298832.852699999, -7809469.6635 -2298832.931499999, -7809469.7281 -2298833.022799999, -7809469.775800001 -2298833.124000002, -7809469.805400001 -2298833.232099999, -7809469.814099999 -2298833.299899999, -7809472.157 -2298864.576699998, -7809472.1625 -2298864.666700002, -7809474.5667 -2298899.4538, -7809538.2566 -2298895.490800001, -7809579.971799999 -2298892.331300002, -7809578.193399999 -2298858.766800001, -7809579.4703 -2298858.6983, -7809581.247099999 -2298892.234700002, -7809625.581499999 -2298888.876699999, -7809629.2413 -2298888.079399999, -7809630.3771 -2298887.4712, -7809631.531199999 -2298886.401999999, -7809632.2917 -2298885.442699999, -7809632.9142 -2298884.559500001, -7809632.9822 -2298884.401000001, -7809633.6796 -2298882.774900001, -7809632.639599999 -2298860.3061, -7809632.525800001 -2298848.484700002, -7809631.886600001 -2298842.3477, -7809631.796599999 -2298832.434, -7809630.488 -2298826.559, -7809629.5176 -2298818.762899999, -7809627.2939 -2298808.4463, -7809625.207599999 -2298795.324099999, -7809625.166200001 -2298795.063499998, -7809624.212400001 -2298792.744399998, -7809622.5524 -2298788.436500002, -7809621.0877 -2298784.652600002, -7809619.7119 -2298782.925900001, -7809619.164899999 -2298782.4045, -7809618.2425 -2298781.521499999, -7809617.6536 -2298781.1076, -7809617.109099999 -2298780.939800002, -7809616.351 -2298780.709399998, -7809615.8171 -2298780.5524, -7809608.8587 -2298780.451099999, -7809607.889599999 -2298780.511500001, -7809605.7172 -2298780.6875, -7809604.331800001 -2298785.263099998))"
1101,1,IQUIQUE,IQUIQUE,HOSPITAL,3,1101031002017,2,17,39,17,22,7,5,22,5,15,Indeterminado,14,0,14,14,14,14,0,0,0,0,0,0,6,1,6,0,0,0,12,0,1,0,0,0,0,13,0,0,0,0,13,0,0,13,0,0,0,"POLYGON ((-7807909.702400001 -2298798.411200002, -7807915.539100001 -2298866.677900001, -7807966.397299999 -2298863.850299999, -7807968.1845 -2298863.430500001, -7807968.854 -2298863.1686, -7807970.096100001 -2298862.517000001, -7807970.993899999 -2298861.363899998, -7807971.692399999 -2298859.1083, -7807971.8884 -2298853.490499999, -7807967.0788 -2298799.890000001, -7807966.408600001 -2298796.925700001, -7807964.49 -2298795.256099999, -7807961.6511 -2298794.5898, -7807955.793 -2298794.8983, -7807909.702400001 -2298798.411200002))"
1101,1,IQUIQUE,IQUIQUE,HOSPITAL,3,1101031002016,2,16,43,22,21,Indeterminado,Indeterminado,31,6,6,Indeterminado,14,0,14,14,14,14,0,0,0,0,0,0,10,2,2,0,0,0,2,0,12,0,0,0,0,2,2,9,0,0,2,11,0,14,0,0,0,"POLYGON ((-7807870.116900001 -2298868.245999999, -7807872.689200001 -2298868.903499998, -7807892.3839 -2298867.963500001, -7807912.599400001 -2298866.8376, -7807906.699200001 -2298798.635600001, -7807868.2336 -2298801.559700001, -7807865.6701 -2298802.209800001, -7807863.8774 -2298803.691199999, -7807863.773499999 -2298803.776999999, -7807862.885600001 -2298806.355500001, -7807862.8573 -2298813.1296, -7807867.718499999 -2298864.972100001, -7807868.3901 -2298866.585999999, -7807869.147700001 -2298867.314300001, -7807870.116900001 -2298868.245999999))"
1101,1,IQUIQUE,IQUIQUE,HOSPITAL,3,1101031003020,3,20,8,Indeterminado,Indeterminado,Indeterminado,0,Indeterminado,Indeterminado,0,0,4,0,4,4,4,4,0,0,0,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,"POLYGON ((-7807788.869899999 -2298872.537599999, -7807792.5382 -2298872.9837, -7807821.733100001 -2298871.442299999, -7807851.8116 -2298869.798099998, -7807855.7937 -2298867.819800001, -7807856.0779 -2298867.253899999, -7807857.7279 -2298863.9694, -7807857.8891 -2298857.933899999, -7807853.5254 -2298810.2894, -7807852.7311 -2298806.318500001, -7807851.6478 -2298805.326499999, -7807849.6646 -2298803.510000002, -7807844.960100001 -2298802.6851, -7807793.3281 -2298806.0966, -7807786.7894 -2298806.592, -7807784.459000001 -2298807.036899999, -7807782.799900001 -2298807.487799998, -7807781.6654 -2298808.3101, -7807780.289799999 -2298809.702300001, -7807779.5891 -2298811.625700001, -7807779.523499999 -2298814.509399999, -7807779.809699999 -2298818.976799998, -7807780.9822 -2298829.976300001, -7807784.355 -2298866.716600001, -7807785.9461 -2298870.349800002, -7807788.869899999 -2298872.537599999))"
1101,1,IQUIQUE,IQUIQUE,PARQUE BALMACEDA,7,1101071001001,1,1,68,34,34,Indeterminado,Indeterminado,43,16,7,Indeterminado,18,1,15,19,19,18,0,0,0,0,0,0,3,1,10,1,0,0,7,0,8,0,0,0,0,14,0,1,0,0,13,2,0,15,0,0,0,"POLYGON ((-7809354.0351 -2298800.338, -7809316.649 -2298802.175099999, -7809316.577299999 -2298797.963300001, -7809299.7171 -2298798.917199999, -7809300.0287 -2298870.244600002, -7809300.854599999 -2298909.5746, -7809372.0473 -2298905.9362, -7809379.4484 -2298905.337900002, -7809382.454399999 -2298903.987799998, -7809383.108200001 -2298902.997099999, -7809383.3685 -2298902.127099998, -7809383.5952 -2298901.000100002, -7809383.855599999 -2298900.130100001, -7809381.425000001 -2298804.401700001, -7809381.3698 -2298801.047200002, -7809381.119200001 -2298798.712400001, -7809380.619100001 -2298797.247499999, -7809380.0769 -2298795.890099999, -7809379.5167 -2298795.0044, -7809379.140699999 -2298794.567600001, -7809378.1456 -2298793.9637, -7809377.376599999 -2298793.690299999, -7809376.342499999 -2298793.601100001, -7809373.432800001 -2298793.4822, -7809355.729599999 -2298794.227600001, -7809354.0351 -2298800.338))"
1101,1,IQUIQUE,IQUIQUE,HOSPITAL,3,1101031003019,3,19,102,51,51,8,9,77,8,8,16,29,0,27,29,28,23,5,0,0,0,0,1,17,10,0,0,0,0,23,4,0,0,0,0,0,26,0,0,0,0,26,0,0,27,0,0,0,"POLYGON ((-7807635.4695 -2298880.306299999, -7807637.486 -2298880.688999999, -7807775.0987 -2298873.372200001, -7807777.822799999 -2298872.8497, -7807779.0704 -2298871.4476, -7807779.466399999 -2298870.1373, -7807779.5627 -2298867.0713, -7807774.990900001 -2298815.451699998, -7807774.360300001 -2298812.036899999, -7807773.349300001 -2298810.6613, -7807772.1379 -2298809.576299999, -7807771.090700001 -2298809.144200001, -7807767.8605 -2298808.8664, -7807636.476399999 -2298818.594599999, -7807633.634299999 -2298819.000100002, -7807631.7783 -2298820.256200001, -7807630.592900001 -2298821.443399999, -7807629.3452 -2298824.399500001, -7807631.241 -2298871.160799999, -7807631.8716 -2298874.564800002, -7807632.379799999 -2298877.2194, -7807633.393300001 -2298878.959399998, -7807634.3049 -2298879.831999999, -7807635.4695 -2298880.306299999))"
1101,1,IQUIQUE,IQUIQUE,PARQUE BALMACEDA,7,1101071001002,1,2,27,15,12,Indeterminado,Indeterminado,22,0,Indeterminado,9,4,0,4,4,7,1,0,0,1,0,1,1,0,0,2,1,0,1,1,0,2,0,0,1,0,3,0,0,0,1,2,1,1,4,0,0,0,"POLYGON ((-7809241.970000001 -2298911.9155, -7809243.806500001 -2298912.4815, -7809289.723999999 -2298910.145399999, -7809289.4978 -2298897.445999999, -7809288.2678 -2298799.608199999, -7809252.673 -2298801.625500001, -7809244.547800001 -2298802.2718, -7809240.0526 -2298802.442600001, -7809237.3002 -2298803.490699999, -7809235.559800001 -2298804.5211, -7809234.709000001 -2298806.284899998, -7809234.132099999 -2298807.5966, -7809234.144200001 -2298809.354200002, -7809234.316400001 -2298811.142999999, -7809238.024 -2298897.505600002, -7809238.225400001 -2298905.0605, -7809238.418500001 -2298906.795600001, -7809239.4451 -2298908.889199998, -7809240.049699999 -2298910.021000002, -7809240.7897 -2298910.723299999, -7809241.4124 -2298911.394099999, -7809241.970000001 -2298911.9155))"
1101,1,IQUIQUE,IQUIQUE,PARQUE BALMACEDA,7,1101071001003,1,3,145,69,76,13,17,97,18,17,25,85,0,61,85,62,0,85,0,0,0,0,0,21,39,0,0,0,0,11,49,0,0,0,0,0,59,0,0,0,0,59,0,0,60,0,0,0,"POLYGON ((-7809113.406300001 -2298921.098700002, -7809115.0579 -2298921.1193, -7809120.7447 -2298920.6723, -7809218.214600001 -2298915.757800002, -7809222.7081 -2298915.340599999, -7809224.633300001 -2298914.855500001, -7809226.407400001 -2298914.0821, -7809227.3946 -2298913.550099999, -7809228.168299999 -2298912.955200002, -7809229.6294 -2298911.615800001, -7809229.9005 -2298910.7458, -7809230.160700001 -2298909.8651, -7809230.389900001 -2298909.102499999, -7809230.759500001 -2298907.074099999, -7809227.6494 -2298816.205699999, -7809227.3805 -2298809.669500001, -7809227.214299999 -2298807.205400001, -7809227.1855 -2298806.112399999, -7809226.7607 -2298804.7863, -7809226.0076 -2298803.730500001, -7809224.9473 -2298802.934, -7809223.462200001 -2298802.354800001, -7809222.6949 -2298802.317400001, -7809221.799900001 -2298802.323600002, -7809220.330399999 -2298802.462400001, -7809217.7108 -2298802.673700001, -7809131.366699999 -2298807.799899999, -7809113.069700001 -2298808.978, -7809109.3654 -2298809.5075, -7809106.997500001 -2298810.692400001, -7809105.7368 -2298811.740800001, -7809104.733999999 -2298813.098299999, -7809104.504699999 -2298813.861000001, -7809104.1402 -2298815.063999999, -7809107.684800001 -2298914.943500001, -7809107.815400001 -2298916.893300001, -7809107.969000001 -2298917.535300002, -7809108.498 -2298918.5284, -7809109.2381 -2298919.230599999, -7809109.785 -2298919.752, -7809110.6942 -2298920.2709, -7809111.3456 -2298920.469999999, -7809111.9969 -2298920.669, -7809112.872400001 -2298920.931000002, -7809113.406300001 -2298921.098700002))"
1101,1,IQUIQUE,IQUIQUE,HOSPITAL,3,1101031003018,3,18,32,13,19,Indeterminado,Indeterminado,Indeterminado,Indeterminado,0,Indeterminado,9,0,8,9,8,8,0,0,0,0,0,1,8,0,0,0,0,0,0,0,8,0,0,0,0,4,0,4,0,0,4,4,0,8,0,0,0,"POLYGON ((-7807572.8828 -2298822.688999999, -7807575.273700001 -2298884.2687, -7807576.375 -2298884.210999999, -7807620.0734 -2298881.923799999, -7807622.6055 -2298881.381200001, -7807624.3248 -2298880.3618, -7807625.296499999 -2298879.111900002, -7807625.794600001 -2298877.157699998, -7807625.776799999 -2298874.553199999, -7807623.5439 -2298828.3409, -7807623.311799999 -2298823.990899999, -7807622.6161 -2298821.9914, -7807620.9333 -2298820.524, -7807620.206499999 -2298820.186000001, -7807619.2468 -2298820.0854, -7807617.0298 -2298819.961300001, -7807580.6017 -2298822.212099999, -7807572.8828 -2298822.688999999))"
1101,1,IQUIQUE,IQUIQUE,PARQUE BALMACEDA,7,1101071001004,1,4,69,37,32,Indeterminado,Indeterminado,53,11,10,9,23,2,15,25,27,21,1,0,0,0,0,1,0,4,5,4,1,0,11,1,2,1,0,0,0,15,0,0,0,0,8,6,0,15,0,0,0,"POLYGON ((-7809007.140799999 -2298915.988200001, -7809007.4011 -2298919.748300001, -7809007.9585 -2298921.770300001, -7809009.125399999 -2298924.130899999, -7809010.2333 -2298925.6237, -7809011.112 -2298926.367899999, -7809011.6382 -2298926.953600001, -7809012.2476 -2298927.260200001, -7809012.9429 -2298927.651900001, -7809015.1515 -2298928.0867, -7809017.7928 -2298927.918200001, -7809070.8915 -2298923.978500001, -7809070.794399999 -2298920.7315, -7809091.782600001 -2298918.870099999, -7809091.932399999 -2298922.052499998, -7809094.903200001 -2298921.763700001, -7809096.540899999 -2298921.312800001, -7809097.635 -2298920.812199999, -7809098.4399 -2298920.109900001, -7809098.9737 -2298918.723499998, -7809099.309599999 -2298916.438200001, -7809096.593800001 -2298819.307399999, -7809096.3522 -2298815.1719, -7809095.666200001 -2298813.043699998, -7809094.313300001 -2298811.541900001, -7809093.3181 -2298810.927299999, -7809092.6018 -2298810.557100002, -7809090.788000001 -2298810.2053, -7809086.4946 -2298810.289000001, -7809017.0207 -2298814.364300001, -7809014.869100001 -2298814.475699998, -7809008.914999999 -2298814.774500001, -7809006.2853 -2298815.0823, -7809004.926000001 -2298815.724199999, -7809003.9629 -2298816.673999999, -7809003.300100001 -2298817.889800001, -7809003.1613 -2298819.401999999, -7809004.3772 -2298839.6831, -7809007.0381 -2298907.264199998, -7809007.140799999 -2298915.988200001))"
