CUT,REGION,PROVINCIA,COMUNA,NOMBRE_DIS,CODIGO_DIS,MANZENT,ZONA_CENSA,MANZANA,TOTAL_PERS,TOTAL_HOMB,TOTAL_MUJE,PERSONAS_0,PERSONAS_6,PERSONAS_1,PERSONAS_M,PERSONAS_E,PUEBLOS_IN,TOTAL_VIV_,TOTAL_VIV1,VIV_OCUPA_,TOTAL_VIVI,CANTIDAD_H,VIV_TIPO_C,VIV_TIPO_D,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARED1,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_TECHO_,VIV_TECHO1,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,VIV_MATE_1,VIV_MATE_2,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,geometry
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181002012,2,12,47,21,26,8,6,27,6,0,12,11,0,11,11,11,11,0,0,0,0,0,0,1,9,1,0,0,0,10,0,0,1,0,0,0,10,0,0,1,0,9,2,0,11,0,0,0,"POLYGON ((-7824858.442299999 -2088690.8939, -7824781.289999999 -2088702.581099998, -7824780.108100001 -2088703.1197, -7824779.650800001 -2088703.653099999, -7824779.160599999 -2088704.186900001, -7824778.933800001 -2088704.718699999, -7824778.674000001 -2088705.250700001, -7824778.5461 -2088705.781800002, -7824778.500399999 -2088706.3123, -7824781.594000001 -2088733.859200001, -7824781.782600001 -2088734.918099999, -7824782.082800001 -2088735.446199998, -7824782.448799999 -2088735.973700002, -7824782.946699999 -2088736.500399999, -7824783.078299999 -2088736.499400001, -7824783.477299999 -2088737.026799999, -7824784.103 -2088737.0222, -7824784.761700001 -2088737.017499998, -7824785.420399999 -2088737.012800001, -7824785.9145 -2088737.009300001, -7824863.601299999 -2088726.378699999, -7824863.766100001 -2088726.377500001, -7824864.3588 -2088726.373100001, -7824864.9188 -2088726.369199999, -7824865.409 -2088725.835499998, -7824865.8334 -2088725.302299999, -7824865.9322 -2088725.301600002, -7824866.159 -2088724.7698, -7824866.4187 -2088724.2377, -7824866.579700001 -2088723.7064, -7824866.6087 -2088723.175999999, -7824866.5721 -2088722.6461, -7824862.664000001 -2088694.0447, -7824862.4791 -2088693.515900001, -7824862.179 -2088692.9879, -7824861.812999999 -2088692.460299999, -7824861.348099999 -2088691.933499999, -7824861.1505 -2088691.934900001, -7824860.817399999 -2088691.407099999, -7824860.2245 -2088691.411400001, -7824859.595000001 -2088690.885699999, -7824858.9693 -2088690.8902, -7824858.442299999 -2088690.8939))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181005036,5,36,105,50,55,15,14,72,4,Indeterminado,45,31,0,30,31,30,31,0,0,0,0,0,0,1,28,1,0,0,0,17,9,4,0,0,0,0,19,3,8,0,0,19,11,0,29,0,0,0,"POLYGON ((-7824390.6731 -2088796.568799999, -7824390.8453 -2088797.627900001, -7824390.977 -2088797.627, -7824391.145400001 -2088798.155999999, -7824391.511499999 -2088798.683499999, -7824391.976399999 -2088799.2104, -7824392.5032 -2088799.206500001, -7824393.0668 -2088799.732700001, -7824425.3631 -2088811.695799999, -7824432.182800001 -2088814.297899999, -7824432.759299999 -2088814.2938, -7824433.3192 -2088814.289799999, -7824433.879000001 -2088814.285799999, -7824434.438999999 -2088814.281800002, -7824434.636499999 -2088814.280400001, -7824434.9658 -2088814.277899999, -7824435.4232 -2088813.7445, -7824435.8146 -2088813.2115, -7824436.1402 -2088812.679000001, -7824436.4 -2088812.147, -7824446.414799999 -2088784.506099999, -7824469.2753 -2088719.661200002, -7824469.502 -2088719.1294, -7824469.5934 -2088718.068399999, -7824469.487 -2088717.0088, -7824469.252800001 -2088716.480300002, -7824469.1173 -2088715.951000001, -7824468.882999999 -2088715.422499999, -7824468.385299999 -2088714.8959, -7824467.788699999 -2088714.370000001, -7824467.0603 -2088713.845100001, -7824466.299000001 -2088713.320300002, -7824427.6646 -2088699.282000002, -7824427.101 -2088698.756000001, -7824426.573999999 -2088698.7597, -7824426.0471 -2088698.763500001, -7824425.5568 -2088699.2971, -7824425.359200001 -2088699.298599999, -7824425.062799999 -2088699.300700001, -7824424.6384 -2088699.833900001, -7824424.2761 -2088699.836399999, -7824423.9505 -2088700.368900001, -7824423.7566 -2088700.9005, -7824412.2859 -2088732.262899999, -7824390.8265 -2088794.977200001, -7824390.6656 -2088795.508499999, -7824390.603399999 -2088796.039099999, -7824390.6731 -2088796.568799999))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181005048,5,48,100,41,59,Indeterminado,14,75,Indeterminado,Indeterminado,21,28,0,27,28,27,28,0,0,0,0,0,0,11,16,0,0,0,0,9,3,14,0,0,0,1,20,1,4,2,0,20,6,1,26,0,0,0,"POLYGON ((-7824111.8784 -2088704.719599999, -7824103.607899999 -2088727.576299999, -7824095.8641 -2088750.151900001, -7824079.726 -2088797.199900001, -7824079.564999999 -2088797.731199998, -7824079.502900001 -2088798.261799999, -7824079.5725 -2088798.791499998, -7824079.7447 -2088799.8506, -7824079.876399999 -2088799.8497, -7824080.0448 -2088800.378699999, -7824080.443700001 -2088800.905900002, -7824080.908500001 -2088801.432799999, -7824081.472200001 -2088801.958900001, -7824081.9991 -2088801.955200002, -7824091.170700001 -2088805.421399999, -7824117.9001 -2088816.013799999, -7824118.7235 -2088816.0079, -7824119.546700001 -2088816.002, -7824120.370200001 -2088815.996199999, -7824121.160599999 -2088815.990400001, -7824121.453299999 -2088815.4582, -7824121.9144 -2088815.4549, -7824122.602299999 -2088814.919799998, -7824123.191299999 -2088814.385400001, -7824123.681600001 -2088813.8517, -7824124.0035 -2088812.789099999, -7824142.5086 -2088760.6996, -7824156.364399999 -2088721.897799999, -7824156.5583 -2088721.366300002, -7824156.6205 -2088720.8356, -7824156.5471 -2088719.775899999, -7824156.345699999 -2088719.247200001, -7824156.210200001 -2088718.717999998, -7824156.009 -2088718.189199999, -7824155.5441 -2088717.6624, -7824155.0134 -2088717.136, -7824154.351 -2088716.6105, -7824153.725299999 -2088716.614999998, -7824116.688300001 -2088702.5647, -7824116.0459 -2088702.569200002, -7824115.3873 -2088702.573899999, -7824114.728599999 -2088702.578600001, -7824114.1029 -2088702.583099999, -7824113.872300001 -2088702.5847, -7824113.513900001 -2088703.117400002, -7824112.9869 -2088703.121199999, -7824112.5295 -2088703.654599998, -7824112.1381 -2088704.187600002, -7824111.8784 -2088704.719599999))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181001083,1,83,43,20,23,Indeterminado,Indeterminado,29,8,Indeterminado,Indeterminado,12,0,12,12,12,11,0,0,0,1,0,0,0,7,2,3,0,0,5,1,4,0,0,1,1,7,3,0,2,0,5,5,2,12,0,0,0,"POLYGON ((-7824638.2787 -2088730.114799999, -7824638.4142 -2088730.644000001, -7824638.4801 -2088730.643599998, -7824638.648499999 -2088731.172600001, -7824638.9487 -2088731.700599998, -7824639.343800001 -2088731.697799999, -7824639.775900001 -2088732.2249, -7824640.237 -2088732.2216, -7824729.502900001 -2088766.043200001, -7824729.568700001 -2088766.0427, -7824730.359099999 -2088766.037099998, -7824731.149599999 -2088766.031300001, -7824731.972999999 -2088766.0255, -7824732.7304 -2088766.020100001, -7824733.026900001 -2088766.017999999, -7824733.451199999 -2088765.4848, -7824734.1061 -2088764.9498, -7824734.6952 -2088764.415399998, -7824735.1525 -2088763.881999999, -7824735.4781 -2088763.3495, -7824744.548800001 -2088737.3059, -7824744.742699999 -2088736.7742, -7824744.801000001 -2088735.713599999, -7824744.7313 -2088735.183899999, -7824744.5263 -2088734.125, -7824744.3945 -2088734.1259, -7824744.1931 -2088733.597199999, -7824743.7612 -2088733.070099998, -7824743.2305 -2088732.543699998, -7824742.601 -2088732.018100001, -7824652.1317 -2088700.3259, -7824651.6339 -2088699.799199998, -7824651.106899999 -2088699.802999999, -7824650.547 -2088699.807, -7824650.056700001 -2088700.340799998, -7824649.859099999 -2088700.3422, -7824649.562799999 -2088700.344300002, -7824649.1383 -2088700.877500001, -7824648.7761 -2088700.880100001, -7824648.4504 -2088701.412599999, -7824648.2566 -2088701.9441, -7824638.3992 -2088728.523600001, -7824638.271199999 -2088729.0546, -7824638.209100001 -2088729.585299999, -7824638.2787 -2088730.114799999))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181005047,5,47,109,44,65,Indeterminado,22,79,Indeterminado,5,66,29,0,25,29,26,29,0,0,0,0,0,0,0,25,0,0,0,0,12,4,9,0,0,0,0,18,0,4,3,0,18,7,0,25,0,0,0,"POLYGON ((-7824126.734099999 -2088817.011100002, -7824126.939099999 -2088818.07, -7824127.038000001 -2088818.0693, -7824127.2063 -2088818.598200001, -7824127.6053 -2088819.125599999, -7824128.0701 -2088819.6523, -7824128.630100001 -2088819.6483, -7824129.160700001 -2088820.174699999, -7824166.811000001 -2088834.750999998, -7824166.909700001 -2088834.750300001, -7824167.766100001 -2088834.744199999, -7824168.622400001 -2088834.738000002, -7824169.478599999 -2088834.731899999, -7824170.335000001 -2088834.725699998, -7824170.532600001 -2088834.724300001, -7824171.0888 -2088834.190200001, -7824171.809599999 -2088833.654899999, -7824172.431600001 -2088833.120200001, -7824172.9219 -2088832.586599998, -7824173.181700001 -2088832.054499999, -7824182.5351 -2088808.659899998, -7824205.919600001 -2088743.281199999, -7824206.2415 -2088742.218600001, -7824206.332800001 -2088741.157600001, -7824206.2228 -2088739.5678, -7824205.886 -2088738.5099, -7824205.384500001 -2088737.4531, -7824204.6853 -2088736.397700001, -7824203.821599999 -2088735.343499999, -7824202.8298 -2088734.8204, -7824201.8051 -2088734.297600001, -7824164.673 -2088720.778099999, -7824163.994000001 -2088720.252900001, -7824163.3683 -2088720.257399999, -7824162.7096 -2088720.2621, -7824162.0547 -2088720.7969, -7824161.824100001 -2088720.798599999, -7824161.4619 -2088720.801100001, -7824160.9386 -2088721.335099999, -7824160.4813 -2088721.868500002, -7824160.0898 -2088722.401500002, -7824159.8301 -2088722.933499999, -7824146.0034 -2088761.2049, -7824126.920399999 -2088815.419199999, -7824126.726500001 -2088815.950800002, -7824126.6974 -2088816.4811, -7824126.734099999 -2088817.011100002))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181005037,5,37,70,32,38,10,4,52,4,Indeterminado,30,25,0,24,25,24,25,0,0,0,0,0,0,0,23,0,1,0,0,13,1,10,0,0,0,0,24,0,0,0,0,23,1,0,24,0,0,0,"POLYGON ((-7824488.8137 -2088725.3532, -7824469.439099999 -2088780.100000001, -7824454.599400001 -2088819.439199999, -7824454.4714 -2088819.9703, -7824454.409299999 -2088820.500999998, -7824454.4789 -2088821.0306, -7824454.614399999 -2088821.559900001, -7824454.680299999 -2088821.5594, -7824454.8158 -2088822.088599999, -7824455.116 -2088822.616700001, -7824455.4782 -2088822.614100002, -7824455.8772 -2088823.141399998, -7824456.305299999 -2088823.1384, -7824497.2732 -2088838.750500001, -7824497.7837 -2088838.746800002, -7824498.343599999 -2088838.742699999, -7824498.8706 -2088838.739, -7824499.397500001 -2088838.735199999, -7824499.562200001 -2088838.734000001, -7824499.854800001 -2088838.2018, -7824500.3159 -2088838.1985, -7824500.6745 -2088837.665800001, -7824500.9672 -2088837.133499999, -7824501.194 -2088836.6017, -7824534.8114 -2088741.989599999, -7824534.9394 -2088741.458500002, -7824535.001499999 -2088740.927900001, -7824534.932 -2088740.398200002, -7824534.796499999 -2088739.868999999, -7824534.6976 -2088739.8697, -7824534.529200001 -2088739.340799998, -7824534.1961 -2088738.812899999, -7824533.7642 -2088738.285799999, -7824533.303099999 -2088738.289099999, -7824532.805299999 -2088737.762499999, -7824493.1625 -2088723.201400001, -7824492.586100001 -2088723.205499999, -7824491.9934 -2088723.209800001, -7824491.4005 -2088723.2141, -7824490.840600001 -2088723.217999998, -7824490.610099999 -2088723.219700001, -7824490.317399999 -2088723.752, -7824489.8234 -2088723.7555, -7824489.3991 -2088724.288699999, -7824489.0734 -2088724.821199998, -7824488.8137 -2088725.3532))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181002023,2,23,60,30,30,10,7,38,5,Indeterminado,25,12,0,12,12,15,12,0,0,0,0,0,0,1,11,0,0,0,0,2,0,10,0,0,0,0,10,1,1,0,0,10,2,0,12,0,0,0,"POLYGON ((-7825092.168299999 -2088771.3926, -7825092.1721 -2088771.922800001, -7825092.3037 -2088771.921799999, -7825092.5382 -2088772.450199999, -7825092.838300001 -2088772.9782, -7825093.171399999 -2088773.506099999, -7825093.336100001 -2088773.504900001, -7825093.5996 -2088773.502999999, -7825094.0644 -2088774.029800002, -7825094.5584 -2088774.0262, -7825095.0524 -2088774.022700001, -7825095.480599999 -2088774.019699998, -7825167.2355 -2088762.9003, -7825167.301200001 -2088762.899799999, -7825168.450200001 -2088762.361299999, -7825168.9734 -2088761.827399999, -7825169.3978 -2088761.294199999, -7825169.723300001 -2088760.761700001, -7825169.982999999 -2088760.229699999, -7825170.1439 -2088759.698199999, -7825170.206 -2088759.1677, -7825170.332 -2088730.5374, -7825170.2623 -2088730.0077, -7825170.093900001 -2088729.478700001, -7825169.8267 -2088728.950399999, -7825169.4606 -2088728.422899999, -7825169.127599999 -2088727.895199999, -7825168.498 -2088727.3695, -7825167.341499999 -2088726.8477, -7825166.7158 -2088726.8521, -7825166.221799999 -2088726.855700001, -7825090.6468 -2088738.002500001, -7825090.547900001 -2088738.003199998, -7825090.024700001 -2088738.537099998, -7825089.5307 -2088738.5407, -7825089.0734 -2088739.074200001, -7825088.710999999 -2088739.076699998, -7825088.5831 -2088739.607799999, -7825088.385500001 -2088739.609200001, -7825088.1588 -2088740.140999999, -7825088.0307 -2088740.6721, -7825088.001599999 -2088741.202500001, -7825088.0054 -2088741.732700001, -7825092.168299999 -2088771.3926))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181002013,2,13,39,21,18,Indeterminado,Indeterminado,21,8,5,4,12,0,11,12,14,12,0,0,0,0,0,0,3,7,1,0,0,0,4,0,7,0,0,0,0,7,3,1,0,0,7,4,0,11,0,0,0,"POLYGON ((-7824864.7766 -2088729.551199999, -7824786.002900001 -2088740.189599998, -7824785.838199999 -2088740.1908, -7824785.179500001 -2088740.195599999, -7824784.5867 -2088740.1998, -7824784.0306 -2088740.734000001, -7824783.5733 -2088741.2674, -7824783.474400001 -2088741.268100001, -7824783.2147 -2088741.800099999, -7824782.9221 -2088742.332400002, -7824782.7611 -2088742.863699999, -7824782.7028 -2088743.9245, -7824782.739499999 -2088744.454399999, -7824786.078600001 -2088774.120299999, -7824786.4484 -2088775.178100001, -7824786.715700001 -2088775.706300002, -7824787.081599999 -2088776.233800001, -7824787.9088 -2088776.758099999, -7824788.369899999 -2088776.754799999, -7824788.8638 -2088776.7513, -7824789.1932 -2088776.748799998, -7824869.548 -2088766.098999999, -7824870.631100001 -2088765.561099999, -7824871.4177 -2088765.025199998, -7824871.7104 -2088764.493000001, -7824871.904200001 -2088763.961399999, -7824872.032199999 -2088763.430300001, -7824872.0615 -2088762.899900001, -7824872.057700001 -2088762.369800001, -7824867.805199999 -2088731.6501, -7824867.6862 -2088731.120900001, -7824867.4848 -2088730.5922, -7824867.2213 -2088730.594099998, -7824866.8552 -2088730.066500001, -7824866.7564 -2088730.067200001, -7824866.4893 -2088729.538899999, -7824866.061000001 -2088729.541999999, -7824865.5999 -2088729.545400001, -7824865.138800001 -2088729.548700001, -7824864.7766 -2088729.551199999))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181001084,1,84,64,36,28,9,7,38,10,0,14,16,0,16,16,17,16,0,0,0,0,0,0,2,13,1,0,0,0,6,3,7,0,0,0,0,13,3,0,0,0,13,3,0,16,0,0,0,"POLYGON ((-7824638.290899999 -2088736.4769, -7824637.537 -2088737.012400001, -7824636.8126 -2088737.0176, -7824636.5491 -2088737.0196, -7824636.124700001 -2088737.5528, -7824635.4989 -2088737.557300001, -7824634.9757 -2088738.091200002, -7824634.5551 -2088739.1545, -7824634.2623 -2088739.686799999, -7824623.901900001 -2088767.330200002, -7824623.7576 -2088767.861400001, -7824623.728399999 -2088768.391800001, -7824623.7651 -2088768.921700001, -7824623.900599999 -2088769.4509, -7824623.999299999 -2088769.450100001, -7824624.102 -2088769.979600001, -7824624.3983 -2088769.977400001, -7824624.7314 -2088770.5053, -7824625.1304 -2088771.032600001, -7824625.558599999 -2088771.0295, -7824716.5956 -2088803.778200001, -7824717.225199999 -2088804.3039, -7824717.8839 -2088804.299199998, -7824718.5755 -2088804.294199999, -7824719.1975 -2088803.759599999, -7824719.427999999 -2088803.7579, -7824719.7903 -2088803.7553, -7824720.3464 -2088803.2212, -7824720.8038 -2088802.6877, -7824721.1952 -2088802.154800002, -7824721.4549 -2088801.622699998, -7824731.5024 -2088773.9815, -7824731.6962 -2088773.449999999, -7824731.758300001 -2088772.919300001, -7824731.684900001 -2088771.859499998, -7824731.4835 -2088771.330800001, -7824731.3847 -2088771.331500001, -7824731.216399999 -2088770.802499998, -7824730.784299999 -2088770.275400002, -7824730.286599999 -2088769.7489, -7824729.722999999 -2088769.2227, -7824729.093499999 -2088768.697000001, -7824639.776699999 -2088736.9965, -7824639.052100001 -2088737.001699999, -7824638.290899999 -2088736.4769))"
15101,15,ARICA,ARICA,CANCHA RAYADA,18,15101181005038,5,38,116,51,65,Indeterminado,17,82,Indeterminado,Indeterminado,38,30,0,29,30,29,30,0,0,0,0,0,0,11,18,0,0,0,0,14,11,4,0,0,0,0,19,3,6,1,0,19,10,0,29,0,0,0,"POLYGON ((-7824537.984300001 -2088743.557500001, -7824504.3377 -2088838.699900001, -7824504.206 -2088838.700800002, -7824504.1768 -2088839.231199998, -7824504.213500001 -2088839.761100002, -7824504.3489 -2088840.290399998, -7824504.414799999 -2088840.289900001, -7824504.5503 -2088840.8191, -7824504.817600001 -2088841.347399998, -7824505.1469 -2088841.344900001, -7824505.5458 -2088841.872299999, -7824505.941099999 -2088841.869399998, -7824545.304300001 -2088856.432599999, -7824545.369999999 -2088856.4322, -7824546.0984 -2088856.957199998, -7824546.888900001 -2088856.951400001, -7824547.646400001 -2088856.945999999, -7824548.4001 -2088856.410500001, -7824548.6307 -2088856.408799998, -7824549.091800001 -2088856.405499998, -7824549.7137 -2088855.870900001, -7824550.2699 -2088855.336800002, -7824550.6942 -2088854.8035, -7824550.983200001 -2088853.741, -7824584.8115 -2088763.368700001, -7824585.084100001 -2088762.306400001, -7824585.1424 -2088761.2456, -7824585.069 -2088760.185800001, -7824584.7981 -2088759.127500001, -7824584.633400001 -2088759.128699999, -7824584.3663 -2088758.600400001, -7824583.765900001 -2088757.544300001, -7824583.037599999 -2088757.019299999, -7824582.2105 -2088756.495200001, -7824581.350400001 -2088755.971099999, -7824542.6625 -2088741.403200001, -7824542.053300001 -2088741.407499999, -7824541.3946 -2088741.412300002, -7824540.7689 -2088741.4168, -7824540.142999999 -2088741.4212, -7824539.912599999 -2088741.422899999, -7824539.586999999 -2088741.955400001, -7824539.060000001 -2088741.959100001, -7824538.602700001 -2088742.492600001, -7824538.244200001 -2088743.0253, -7824537.984300001 -2088743.557500001))"
