fecha,id_region,gas93,gas95,gas97,glp,gnc,diesel
20180601,01,811.08,833.1153846153846,863.84,439.8,,577.0
20180601,02,808.9545454545455,841.3777777777777,869.9772727272727,480.6666666666667,609.0,589.4
20180601,03,795.1944444444445,826.8055555555555,859.25,475.0,,585.1111111111111
20180601,04,795.877027027027,827.652,863.87,461.1666666666667,,581.5701298701299
20180601,05,785.376404494382,818.9830508474577,858.6352201257862,425.05263157894734,,570.1
20180601,06,800.6990291262136,830.2476190476191,862.9634146341464,423.7,,583.6857142857143
20180601,07,783.020979020979,812.020979020979,854.1739130434783,425.39166666666665,,565.7702702702703
20180601,08,787.006726457399,813.5353982300885,845.7119565217391,455.3333333333333,,577.0399122807017
20180601,09,807.4471544715448,836.1147540983607,866.59,467.57142857142856,,596.6120967741934
20180601,10,818.01,850.242718446602,874.9555555555555,472.5,,607.3173076923077
20180601,11,878.1666666666666,908.1,926.5333333333333,525.0,,662.6666666666666
20180601,12,827.7869565217391,847.9444444444445,890.3684210526316,423.0,248.42857142857142,616.4782608695652
20180601,13,776.0928433268858,802.2658959537572,837.4159999999999,447.28846153846155,530.3333333333334,572.2262452107279
20180601,14,820.2619047619048,848.7045454545455,876.1891891891892,465.0,,605.1304347826087
20180601,15,797.25,823.9333333333333,854.7142857142857,447.6,,574.5909090909091
20180602,01,811.12,833.1538461538462,863.88,439.8,,577.0333333333333
20180602,02,808.9545454545455,841.3777777777777,869.9772727272727,480.6666666666667,609.0,589.4
20180602,03,795.3611111111111,826.9722222222222,859.4166666666666,475.0,,585.2777777777778
20180602,04,796.404054054054,828.2119999999999,864.4414285714284,461.1666666666667,,582.0636363636363
20180602,05,785.7078651685393,819.3163841807909,858.5534591194969,425.05263157894734,,570.45
20180602,06,801.1346153846154,830.5607476635514,863.4024390243902,420.8333333333333,,584.1495327102804
20180602,07,783.6293706293707,812.5874125874126,854.2391304347826,425.39166666666665,,566.331081081081
20180602,08,787.363976083707,813.8982300884956,845.8713768115942,455.05555555555554,,577.4039473684211
20180602,09,807.7967479674796,836.4754098360655,866.9233333333333,467.57142857142856,,596.9749999999999
20180602,10,818.18,850.4271844660194,875.0222222222222,472.5,,607.4711538461538
20180602,11,878.8333333333334,908.7,927.3333333333334,525.0,,663.1428571428571
20180602,12,828.1347826086956,848.1666666666666,890.7894736842105,423.0,248.42857142857142,616.7971014492754
20180602,13,776.3539651837524,802.4977520873474,837.6447719298246,447.5576923076923,530.3333333333334,572.4746487867177
20180602,14,820.4047619047619,848.8636363636364,876.1891891891892,465.0,,605.195652173913
20180602,15,797.25,823.9333333333333,854.7142857142857,447.6,,575.0909090909091
2018-05-27 14:42:30,01,803.0,827.6153846153846,858.08,436.0,,571.6333333333333
2018-05-27 14:42:30,02,803.2954545454545,835.7111111111111,864.2954545454545,476.0,609.0,583.6888888888889
2018-05-27 14:42:30,03,790.0277777777778,821.6388888888889,854.0833333333334,474.75,,579.9722222222222
2018-05-27 14:42:30,04,790.1608108108109,821.972,858.1557142857143,458.3333333333333,,577.2805194805195
2018-05-27 14:42:30,05,780.0056179775281,813.7005649717514,853.377358490566,423.7894736842105,,564.7555555555556
2018-05-27 14:42:30,06,795.2233009708738,824.8095238095239,857.4756097560976,426.0,,578.2666666666667
2018-05-27 14:42:30,07,777.5664335664336,806.1930069930071,848.0326086956521,424.9166666666667,,560.4054054054054
2018-05-27 14:42:30,08,781.6121076233184,808.0353982300885,839.8423913043479,450.8333333333333,,571.5921052631579
2018-05-27 14:42:30,09,802.1219512195122,831.2295081967213,861.08,465.57142857142856,,591.4669354838709
2018-05-27 14:42:30,10,812.45,844.8446601941747,869.2222222222222,469.9166666666667,,601.8557692307693
2018-05-27 14:42:30,11,870.0,903.25,925.0666666666667,525.0,,658.0952380952381
2018-05-27 14:42:30,12,823.2608695652174,843.2222222222222,885.8947368421053,417.0,248.42857142857142,611.695652173913
2018-05-27 14:42:30,13,770.6638297872339,796.8554913294797,831.7894736842105,445.7692307692308,525.8333333333334,566.9367816091954
2018-05-27 14:42:30,14,814.3809523809524,842.8181818181819,870.1621621621622,465.3333333333333,,599.3695652173913
2018-05-27 14:42:30,15,791.625,818.0666666666667,848.7142857142857,445.4,,568.6818181818181
2018-05-27 14:46:11,01,803.0,827.6153846153846,858.08,436.0,,571.6333333333333
2018-05-27 14:46:11,02,803.2954545454545,835.7111111111111,864.2954545454545,476.0,609.0,583.6888888888889
2018-05-27 14:46:11,03,790.0277777777778,821.6388888888889,854.0833333333334,474.75,,579.9722222222222
2018-05-27 14:46:11,04,790.1608108108109,821.972,858.1557142857143,458.3333333333333,,577.2805194805195
2018-05-27 14:46:11,05,780.0056179775281,813.7005649717514,853.377358490566,423.7894736842105,,564.7555555555556
2018-05-27 14:46:11,06,795.2233009708738,824.8095238095239,857.4756097560976,426.0,,578.2666666666667
2018-05-27 14:46:11,07,777.5664335664336,806.1930069930071,848.0326086956521,424.9166666666667,,560.4054054054054
2018-05-27 14:46:11,08,781.6121076233184,808.0353982300885,839.8423913043479,450.8333333333333,,571.5921052631579
2018-05-27 14:46:11,09,802.1219512195122,831.2295081967213,861.08,465.57142857142856,,591.4669354838709
2018-05-27 14:46:11,10,812.45,844.8446601941747,869.2222222222222,469.9166666666667,,601.8557692307693
2018-05-27 14:46:11,11,870.0,903.25,925.0666666666667,525.0,,658.0952380952381
2018-05-27 14:46:11,12,823.2608695652174,843.2222222222222,885.8947368421053,417.0,248.42857142857142,611.695652173913
