Nombre,Direccion,Comuna,Horarios,Latitud,Longitud
LAS PERDICES,"Las Perdices, entre Los Baqueanos y Valle Hermoso",Peñalolén,Ma y Sá,-33.4734932,-70.5326211
PALENA,"Consistorial, entre Tagua-Tagua y Las Parcelas",Peñalolén,Mi y Do,-33.473714,-70.5422393
LOS MARES,"Horacio Toro, entre San Luis de Macul y Las Brisas",Peñalolén,Ma y Vi,-33.5060435,-70.5810108
LOS CONCILIOS,"Los Concilios, entre Arquitecto Pauly y Chile-España",Providencia,Vi,-33.4416815,-70.5932255
SANTA MARÍA,"Santa María, entre Calle del Arzobispo y Los Piñones",Providencia,Ju y Do,-33.4314552,-70.6264781
PROVIDENCIA,"Manuel Montt, entre Santa Isabel y Obispo Alday",Providencia,Sá,-33.4468168,-70.6138924
LA ESTRELLA,"La Estrella, entre Laguna Sur y Los Mares",Pudahuel,Ju y Do,-33.4601755,-70.7522302
SERRANO,"Serrano, entre San Daniel y Yungay",Pudahuel,Ju y Do,-33.4342973,-70.7657945
SANTA CORINA,"Corona Sueca, entre Los Ediles y El Salitre",Pudahuel,Mi y Sá,-33.4475606,-70.7502314
FALDAS DEL MORRO,"Faldas del Morro, entre La Estrella y Osa Mayor",Pudahuel,Ju y Do,-33.4486637,-70.7543376
VICTORIA,"Victoria, entre Las Peñas y Dos Coronas",Pudahuel,Ma y Vi,-33.4361825,-70.7579282
TENIENTE CRUZ,"Teniente Cruz, entre Ricardo Vial y San Francisco",Pudahuel,Ma y Vi,-33.4418768,-70.7406115
LA TRAVESÍA 1,"La Travesía, entre Oceanía e Isla Grande de Tierra del Fuego",Pudahuel,Ma y Vi,-33.4590345,-70.7605024
LA TRAVESÍA 2,"La Travesía, entre Teniente Cruz y Mar de Drake",Pudahuel,Mi y Sá,-33.4611494,-70.7463607
LOS NOGALES 1,"Miguel Ángel, entre Ejército Libertador y Creta",Puente Alto,Ma,-33.5770589,-70.6038606
LOS NOGALES 2,"Ulises, entre Gabriela y Venus",Puente Alto,Mi,-33.6186082,-70.5906057
LOS NOGALES 3,"Nemesio Vicuña, entre Las Nieves Oriente y San Hugo",Puente Alto,Ju,-33.5936887,-70.5732758
LOS NOGALES 4,"Creta, entre Sagasca y Gabriela",Puente Alto,Vi,-33.5858326,-70.6015877
LOS NOGALES 5,"Las Nieves Oriente, entre San Juan y Los Maillines",Puente Alto,Do,-33.593503,-70.5752523
LICAN-RAY 1,"El Peral, entre México y Las Nieves Oriente",Puente Alto,Ma,-33.5764023,-70.5597306
LICAN-RAY 2,"El Peñón, entre Valle Central y Nonato Coo",Puente Alto,Mi y Sá,-33.5785479,-70.5695316
LICAN-RAY 3,"México, entre Los Toros y Bahía Inglesa",Puente Alto,Ju,-33.5628423,-70.5687853
LICAN-RAY 4,"Punta Blanca, entre Ramón Venegas y El Barquito",Puente Alto,Vi,-33.5853327,-70.5528691
LICAN-RAY 6,"Las Nieves Oriente, entre El Peñón y Luis Matte Larraín",Puente Alto,Do,-33.5796516,-70.5587241
EL ESFUERZO 1,"Tomé, entre San Carlos y Caleta Brava",Puente Alto,Ma,-33.598564,-70.5592871
EL ESFUERZO 2,"Miguel Ángel, entre Coquimbo y Juan de Dios Malebrán",Puente Alto,Mi,-33.5820674,-70.5871004
EL ESFUERZO 3,"Troncal San Francisco, entre Luis Matte Larraín y Maestro Palomo",Puente Alto,Ju,-33.5853457,-70.5641217
EL ESFUERZO 4,"La Balanza, entre San Carlos y Domingo Tocornal",Puente Alto,Vi,-33.5971628,-70.5676014
EL ESFUERZO 5,"Miguel Ángel, entre Juan de Dios Malebrán y Rimbaud",Puente Alto,Sá,-33.5823243,-70.5889207
EL ESFUERZO 6,"San Carlos, entre Nonato Coo y Cerrito Arriba",Puente Alto,Do,-33.595121,-70.559694
CASAS VIEJAS 1,"Laja, entre Circunvalación y Marcos Pérez",Puente Alto,Ma,-33.6174562,-70.5768853
CASAS VIEJAS 2,"El Volcán, entre Cordillera y Valle Hermoso",Puente Alto,Mi,-33.5577929,-70.5626421
CASAS VIEJAS 3,"Pie Andino, desde Eyzaguirre hacia el sur",Puente Alto,Ju,-33.6125969,-70.5786019
CASAS VIEJAS 4,"Uruguay, entre San Pedro y Circunvalación",Puente Alto,Vi,-32.522779,-55.765835
CASAS VIEJAS 5,"Diego Portales, entre Av",Puente Alto,La Florida y Las Torres. Sá,-33.6105336,-70.586406
CASAS VIEJAS 6,"Tomé, entre Los Loros y Circunvalación",Puente Alto,Do,-33.6122812,-70.5575595
FERIA GRANDE 1,"Juan de Dios Malebrán, entre Ernesto Alvear y Teniente Bello",Puente Alto,Ma,-33.605546,-70.582811
FERIA GRANDE 2,"Eduardo Cordero, entre Santa Elena y Domeyko",Puente Alto,Mi,-33.6056698,-70.5677959
FERIA GRANDE 3,"Ejército Libertador, entre Arturo Prat y Real Audiencia",Puente Alto,Ju,-33.6226471,-70.5895098
FERIA GRANDE 4,"Luis Matte Larraín, entre 5º",Puente Alto,Centenario y Carlos Aguirre Luco. Vi,-33.5860325,-70.5803062
FERIA GRANDE 4.1,"Óscar Bonilla, entre Domingo Tocornal y La Viña",Puente Alto,Vi,-33.6118504,-70.5937559
FERIA GRANDE 5,"Santa Elena, entre Eyzaguirre e Irarrázaval",Puente Alto,Sá,-33.6068337,-70.5676259
FERIA GRANDE 6,"Arturo Prat, entre Uruguay y Ejército Libertador",Puente Alto,Do,-33.6186074,-70.5907003
MARTA BRUNET 1,"Nocedal, entre San Pedro y Sócrates",Puente Alto,Vi,-33.6242536,-70.5941389
MARTA BRUNET 2,"Reloj de Sol, entre Quitalmahue y Aguas Abajo",Puente Alto,Sá,-33.6321712,-70.6247262
MARTA BRUNET 3,"Río Colorado, entre Estero Leonera y Estero Puangue",Puente Alto,Do,-33.6150997,-70.6233666
LUIS MATTE 1,"Río Queltehues, entre Río Yeso y Río Volcán",Puente Alto,Vi,-33.6154005,-70.6189788
LUIS MATTE 2,"Luis Matte Larraín, entre Palo de Rosa y Osa Mayor",Puente Alto,Sá,-33.6208773,-70.6049964
LUIS MATTE 3,"Ejército Libertador, entre Luis Matte Larraín y Padre Hurtado",Puente Alto,Do,-33.5876103,-70.5967186
BAJOS DE MENA 1,"San Pedro, entre Juanita Oriente y El Sauce",Puente Alto,Ma y Vi,-33.6297744,-70.6192398
BAJOS DE MENA 2,"Sargento Menadier, entre Juanita y Osa Mayor",Puente Alto,Mi y Sá,-33.6208773,-70.6049964
BAJOS DE MENA 3,"Quitalmahue, entre Calle del Servicio y Curaco de Vélez",Puente Alto,Ju y Do,-33.6262531,-70.6242422
CHACAREROS 1,"Ángel Pimentel, entre Chayavientos y El Quillay",Puente Alto,Ma,-33.5887263,-70.5709203
CHACAREROS 2,"El Peral, entre Nonato Coo y El Hidalgo",Puente Alto,Mi,-33.5740172,-70.5759384
CHACAREROS 3,"Las Nieves Oriente, entre Gabriela Oriente y El Peñón",Puente Alto,Ju,-33.5755126,-70.5599681
CHACAREROS 4,"Los Toros, entre Nonato Coo y México",Puente Alto,Sá,23.634501,-102.552784
CHACAREROS 5,"Los Toros, entre Concha y Toro y Nemesio Vicuña",Puente Alto,Do,-33.6003765,-70.5721981
LAS VIOLETAS,"Las Violetas, entre San Martín y Antonio Varas",Quilicura,Sá,-33.3702749,-70.7443993
LO MARCOLETA 1,"Lo Marcoleta, entre San Enrique y San Luis",Quilicura,Ma,-33.3602459,-70.7451707
LO MARCOLETA 2,"Lo Marcoleta, entre San Luis y Colo Colo",Quilicura,Mi,-33.3707544,-70.7489162
LO MARCOLETA 3,"Lo Marcoleta, entre O'Higgins y Lo Ovalle",Quilicura,Ju,-33.3618393,-70.7296854
LO MARCOLETA 4,"Lo Marcoleta, entre San Enrique y Los Benedictinos",Quilicura,Vi,-33.3639933,-70.7569453
SAN ENRIQUE,"San Enrique, entre Matta y San Luis",Quilicura,Do.,-33.3635065,-70.7531803
VILLA SODIMAC,"Séptimo de Línea, entre Matta y Los Europeos",Quilicura,Ju,-33.3612407,-70.7144863
HERMANOS CARRERA,"Lo Marcoleta, entre Lo Cruzat y Las Torres",Quilicura,Sá,-33.353979,-70.7340309
BERNARDO O'HIGGINS,"O'Higgins, entre Doña Leticia y Ana Frank",Quilicura,Sá,-33.3629858,-70.7298327
CARAMPANGUE,"Carampangue, entre Lo Campino y Las Águilas",Quilicura,Do,-33.3696428,-70.7185203
VOLCÁN VILLARRICA,"Volcán Villarrica, entre Matta y San Luis",Quilicura,Ma,-33.3635065,-70.7531803
RAMÓN ROSALES,"Ramón Rosales, entre Las Torres y De la Vega",Quilicura,Mi,-33.3703385,-70.7210551
KIáLIMANDJARO,"Los Alpes, entre Kilimandjaro y Rigoberto Jara",Quilicura,Sá,-33.3551905,-70.7433761
TOCONAO,"Toconao, entre Valle de la Luna y San Luis",Quilicura,Ju,-33.3652769,-70.746108
JOSÉ BESA,"José Besa, entre San Pablo y Vicuña Rozas",Quinta Normal,Ma,-33.4407839,-70.704629
VICTORINO LAYNEZ,"Victorino Laynez, entre Nueva Imperial y Santo Domingo",Quinta Normal,Mi,-33.4456065,-70.6981729
EDISON,"Edison, entre Radal y Gaspar de Orense",Quinta Normal,Sá,-33.4388698,-70.703028
LOS SAUCES,"Los Sauces, entre Samuel Izquierdo y Lo Espinoza",Quinta Normal,Ma y Sá,-33.4096574,-70.7072983
ALBERDI 1,"Alberdi, entre Salvador Gutiérrez y Hoevel",Quinta Normal,Ju y Do,-33.4229896,-70.711239
EX LA PLATA,"Augusto Matte, entre Carrascal y Mapocho",Quinta Normal,Do,-33.4235601,-70.6898434
JOSÉ TOBÍAS,"José Tobías, entre Carlos Ottolenghi y Los Sauces",Quinta Normal,Ju,-33.4144053,-70.7049929
ALSINO,"Alsino, entre Radal y Bombero Roberts",Quinta Normal,Sá,-33.4251151,-70.7086775
MARCELO FITTE,"Marcelo Fitte, entre Miguel de Atero y Víctor Hugo",Quinta Normal,Do,-33.4198511,-70.6920855
TRÁNSITO,"Tránsito, entre Neptuno y Hostos",Quinta Normal,Vi,-33.4351153,-70.710521
MERCURIO,"Mercurio, entre Loyola y José Joaquín Pérez",Quinta Normal,Mi,-33.4323926,-70.7064638
EDUARDO CHARME,"Eduardo Charme, entre José Joaquín Pérez y Vicuña Rozas",Quinta Normal,Vi,-33.4320839,-70.7015996
FRANCISCO JAVIER,"Francisco Javier, entre Nueva Imperial y Porto Seguro",Quinta Normal,Ma,-33.4479555,-70.7002921
SAN GUMERCINDO,"San Gumercindo, entre Nueva Imperial y Porto Seguro",Quinta Normal,Vi,-33.4449359,-70.6946111
LOPE DE ULLOA,"Lope de Ulloa, entre Mapocho y Doctor Sierra",Quinta Normal,Ju,-33.4279488,-70.6877598
ALBERDI 2,"Alberdi, entre Mapocho y José Joaquín Pérez",Quinta Normal,Mi,-33.4317511,-70.6924383
ZAPADORES,"Zapadores, entre Recoleta y Juan Cristobal",Recoleta,Ma,-33.3851023,-70.6412464
EINSTEIN,"Einstein, entre Las Torres y Regimiento Buín",Recoleta,Ju,-33.4074167,-70.6342234
LA SERENA,"La Serena, entre Recoleta y Cardenal Caro",Recoleta,Do,-29.9026691,-71.2519374
HUECHURABA-RECOLETA,"San José, entre Zapadores y Enrique Donoso",Recoleta,Ju,-33.3951269,-70.6297713
VALDIVIESO,"Arzobispo Valdivieso, entre Alicante y Siete Norte",Recoleta,Vi,-33.4111871,-70.6279587
EL ROBLE,"Einstein, entre Albano y Aurelio Díaz Meza",Recoleta,Sá,-33.405493,-70.6351335
HÉROES DE LA CONCEPCIÓN,"Colombia, entre Reina de Chile y El Cerro",Recoleta,Sá,4.570868,-74.297333
EL GUANACO,"El Guanaco, entre Einstein y Julio Martínez Prádanos (ex Santa Laura)",Recoleta,Ju y Do,-33.4045715,-70.6586532
CHACABUCO GRANDE,"Víctor Cuccuini, entre Coronel Del Canto y Campino",Recoleta,Mi,-33.4041507,-70.641112
CONDELL,"Condell, entre Topocalma y José Miguel Infante",Renca,Mi y Sá,-33.409169,-70.7246305
BULNES,"Barros Arana, entre José Santiago Aldunate y Antonio Maceo",Renca,Mi y Sá,-33.4138259,-70.6863385
CHILECTRA,"Nicanor Fajardo, entre Domingo Santa María y Costanera Norte",Renca,Mi y Sá,-33.4047835,-70.7095685
MANUEL RODRÍGUEZ,"Manuel Rodríguez, entre Río Huasco y Calle del Cerro",Renca,Mi,-33.3954742,-70.7217536
VICUÑA MACKENNA,"Vicuña Mackenna, entre José Miguel Infante y Miraflores",Renca,Ju y Do,-33.4057077,-70.7455486
LOS ACACIOS,"Los Acacios, entre Los Aromos y Pasaje Rubí",Renca,Ju y Do,-33.4044894,-70.7170929
COLO COLO,"Colo Colo, entre General Freire y Arturo Prat",Renca,Ju y Do,-33.4010551,-70.7263927
LOURDES,"Diego Portales, entre Montt Varas e Ignacio Carrera Pinto",Renca,Ma y Vi,-33.4013105,-70.7120919
HUAMACHUCO,"Los Clarines, entre Las Margaritas y Senador Jaime Guzmán",Renca,Ma y Vi,-33.3674591,-70.7056097
HUAMACHUCO II,"Las Margaritas, entre Puerto Montt y Pasaje Lima",Renca,Mi y Sá,-12.0463731,-77.042754
DORSAL,"José Manuel Balmaceda, entre Caupolicán y Pasaje Chercán",Renca,Mi y Sá,-33.4031841,-70.7014599
PELLUHUE,"Pelluhue, entre José Miguel Infante y Topocalma",Renca,Ma y Vi,-33.4067575,-70.7344536
EL MANZANO 1,"Balmaceda, entre Martín de Solís y Maullín",San Bernardo,Ma y Vi,-33.5971892,-70.6848683
EL MANZANO 2,"Balmaceda Oriente, entre Volcán Maipo y Santa Mercedes",San Bernardo,Mi y Sá,-33.5922822,-70.6715001
EL MANZANO 3,"Lo Blanco, entre Pasaje Drake y Yokaguachi",San Bernardo,Ju y Do,-33.5854485,-70.6987361
CARVALLO,"Liborio Carvallo, entre Barros Arana y Victoria",San Bernardo,Sá,-33.6073354,-70.7034676
YUNGAY,"Yungay, entre América y Santiago Mac-Lean",San Bernardo,Ma y Sá,-33.5817041,-70.7005397
EL OLIVO,"Francisco de Camargo, entre Calderón de la Barca y Santa Marta",San Bernardo,Mi y Sá,-33.5819377,-70.6868809
COSTANERA,"Costanera, entre Av",San Bernardo,Colón y Covadonga. Ju y Do,-33.5961226,-70.7127496
ANTONIO VARAS,"Antonio Varas, entre Baquedano y José Besa",San Bernardo,Ju y Do,-33.5924319,-70.6923197
MUSSA,"San Nicolás, entre Benozzo Gozzoli y Cristóbal de Erazo",San Joaquín,Ju y Do,-33.4994408,-70.6371848
GASPAR DE SOTO,"Gaspar de Soto, entre San Gregorio y Santa Rosa",San Joaquín,Mi y Do,-33.4962023,-70.6402274
NAVARRETE,"Tocornal, entre Pintor Ciccarelli e Isabel Riquelme",San Joaquín,Sá,-33.4815181,-70.6302276
SAN JUAN,"San Juan, entre Comercio y Av",San Joaquín,Central. Ma y Vi,-33.496202,-70.6283361
LAS INDUSTRIAS,"Vecinal, entre Carmen Mena y Pasaje Anay",San Joaquín,Ma y Vi,-33.5137455,-70.6212557
LA CASTRINA,"Sebastopol, entre Santa Rosa y La Castrina",San Joaquín,Ma y Sá,38.4021359,-122.8238806
POBLACIÓN CHILE,"Juan Sebastián Bach, entre Palestrina y Guido D' Arezzo",San Joaquín,Mi,-33.4808045,-70.629051
LA LEGUA,"Comandante Riesle, entre Alcalde Pedro Alarcón y San Gregorio",San Joaquín,Ju y Do,-33.4895443,-70.635739
VARAS MENA,"José Luis Cerda, entre León Prado y Varas Mena",San Joaquín,Ma y Vi,-33.5063488,-70.6486606
TRISTÁN MATTA,"Tristán Matta, entre Gauss y Panamericana Sur",San Joaquín,Ju y Do,-33.5012804,-70.6597774
ATACAMA,"Cuarta Avenida, entre Cuarta Transversal y Quinta Transversal",San Joaquín,Mi y Sá,-33.5058671,-70.661673
SOTO AGUILAR,"Soto Aguilar, entre San Ignacio y Barros Luco",San Joaquín,Ju y Do,-33.4843302,-70.646003
SALESIANOS,"San Francisco, entre Álvarez de Toledo y María Auxiliadora",San Joaquín,Vi,-33.4908747,-70.6465751
CHILOÉ,"Chiloé, entre Varas Mena y Departamental",San Joaquín,Vi,-33.5108972,-70.6471668
LA BANDERA,"La Bandera, entre Vicuña Mackenna y Esperanza",San Ramón,Ju y Do,-33.5458496,-70.6453589
BOLIVIA,"Bolivia, entre Pedro Aguirre Cerda y Cárlos Dávila",San Ramón,Mi y Sá,-33.5333628,-70.6411456
MAYO,"Mayo, entre Rivadavia y Alvear",San Ramón,Mi y Sá,-33.5234353,-70.6434149
VILLA BLANCA,"Alvear, entre Fernández Albano y Santa Ana",San Ramón,Ju y Do,-33.5270768,-70.644227
SARGENTO CANDELARIA,"Sargento Candelaria, entre Juan Antonio Ríos y Pedro Aguirre Cerda",San Ramón,Mi y Sá,-33.5510207,-70.6464256
FERNÁNDEZ ALBANO,"Elías Fernández Albano, entre Paraguay y Bolivia",San Ramón,Ju y Do,-33.5336797,-70.6475606
ALPATACAL,"Alpatacal, entre La Bandera y Aníbal Zañartu",San Ramón,Ma y Vi,-33.5475262,-70.6457111
BARROS LUCO,"Barros Luco, entre El Parrón y Uruguay",San Ramón,Ma y Vi,-33.5291419,-70.6444454
PORTALES,"Portales, entre Libertad y Maipú",Santiago,Ju,-34.5180301,-58.487014
HERRERA,"Herrera, entre San Pablo y Mapocho",Santiago,Ma y Mi,-33.4294087,-70.6991019
MARTÍNEZ DE ROZAS,"Martínez de Rozas, entre Ricardo Cumming y Brasil",Santiago,Mi y Sá,-33.4398919,-70.6648376
PEDRO LAGOS,"Pedro Lagos, entre Lira y Carmen",Santiago,Sá,-33.4640303,-70.6344058
DIEZ DE JULIO,"Diez de Julio Huamachuco, entre Vicuña Mackenna y Portugal",Santiago,Do,-33.4519135,-70.6307555
SAN CAMILO,"San Camilo, entre Argomedo y Marín",Santiago,Mi y Vi,-33.4488897,-70.6692655
BLANCO ENCALADA,"Blanco Encalada, entre Club Hípico y Echaurren",Santiago,Sá,-33.457196,-70.6649552
COQUIMBO,"Coquimbo, entre Nueva Aldea y Lingue",Santiago,Ma y Sá,-33.4488897,-70.6692655
ROMERO,"Romero, entre Libertad y García Reyes",Santiago,Ma y Vi,-33.4406209,-70.6714863
ROBERTO ESPINOZA,"Roberto Espinoza, entre Victoria y Pedro Lagos",Santiago,Sá,-33.4653509,-70.6424663
ESPERANZA,"Esperanza, entre Portales y Erasmo Escala",Santiago,Do,-33.4455556,-70.6709174
SAN AGUSTÍN,"San Agustín, entre Bascuñán Guerrero y Francisco Pizarro",Santiago,Sá,-33.4743846,-70.6716619
GASPAR DE LA BARRERA,"Gaspar De la Barrera, entre Longaví y Camino Melipilla",Santiago,Ju y Do,-33.5444997,-70.7816359
VENTURA LAVALLE,"Ventura Lavalle, entre Pedro León Ugalde y Lira",Santiago,Ma,-33.4580843,-70.6334687
ALDUNATE,"Aldunate, entre Copiapó y Coquimbo",Santiago,Ju y Do,-33.4952736,-70.6258596
CLUB DE POLO,"Monseñor Escrivá de Balaguer, entre Luis Carrera y la entrada a CasaPiedra",Vitacura,Ju y Vi,-33.3833659,-70.5882224
EL AROMO,"El Aromo, entre Padre Hurtado Norte y La Cortada",Vitacura,Ju y Sá,-33.3799124,-70.5550553
